x,npz,vtu
4.853229038417339325e-03,1.827388048171997070e+00,1.781068682670593262e+00
7.265569335397552113e-03,1.818958997726440430e+00,1.781068682670593262e+00
9.677909632377764901e-03,1.770806670188903809e+00,1.781068682670593262e+00
1.209024992935797682e-02,1.790503740310668945e+00,1.781068682670593262e+00
1.450259022633819048e-02,1.755547165870666504e+00,1.781068682670593262e+00
1.691493052331840413e-02,1.775537967681884766e+00,1.781068682670593040e+00
1.932727082029861432e-02,1.781350612640380859e+00,1.781068682670593262e+00
2.173961111727882797e-02,1.772087335586547852e+00,1.781068682670593484e+00
2.415195141425904163e-02,1.772469282150268555e+00,1.781068682670593262e+00
2.656429171123925528e-02,1.778428554534912109e+00,1.781068682670593262e+00
2.897663200821946894e-02,1.771981954574584961e+00,1.781068682670593262e+00
3.138897230519967912e-02,1.774229168891906738e+00,1.781068682670593262e+00
3.380131260217988931e-02,1.774145722389221191e+00,1.781068682670593262e+00
3.621365289916010644e-02,1.774468779563903809e+00,1.781068682670593262e+00
3.862599319614031662e-02,1.768347382545471191e+00,1.781068682670593040e+00
4.103833349312053375e-02,1.779878854751586914e+00,1.781068682670593040e+00
4.345067379010074393e-02,1.776148915290832520e+00,1.781068682670593262e+00
4.586301408708095412e-02,1.787256598472595215e+00,1.781068682670593262e+00
4.827535438406117124e-02,1.780207037925720215e+00,1.781068682670593484e+00
5.068769468104138143e-02,1.792096018791198730e+00,1.781068682670593262e+00
5.310003497802159855e-02,1.773422241210937500e+00,1.781068682670593040e+00
5.551237527500180874e-02,1.789643049240112305e+00,1.781068682670593040e+00
5.792471557198201892e-02,1.775858879089355469e+00,1.781068682670593262e+00
6.033705586896223605e-02,1.792150616645812988e+00,1.781068682670593040e+00
6.274939616594243930e-02,1.777439594268798828e+00,1.781068682670593262e+00
6.516173646292265642e-02,1.791581273078918457e+00,1.781068682670593262e+00
6.757407675990287355e-02,1.779787063598632812e+00,1.781068682670593262e+00
6.998641705688309067e-02,1.796477913856506348e+00,1.781068682670593262e+00
7.239875735386329392e-02,1.770623445510864258e+00,1.781068682670593262e+00
7.481109765084351104e-02,1.777347564697265625e+00,1.781068682670593040e+00
7.722343794782372817e-02,1.754732251167297363e+00,1.781068682670593262e+00
7.963577824480393141e-02,1.762487530708312988e+00,1.781068682670593262e+00
8.204811854178414854e-02,1.767863154411315918e+00,1.781068682670593262e+00
8.446045883876436566e-02,1.774787425994873047e+00,1.781068682670593262e+00
8.687279913574456891e-02,1.781707763671875000e+00,1.781068682670593040e+00
8.928513943272478603e-02,1.781948089599609375e+00,1.781068682670593262e+00
9.169747972970500316e-02,1.784535408020019531e+00,1.781068682670593262e+00
9.410982002668520641e-02,1.795625686645507812e+00,1.781068682670593262e+00
9.652216032366542353e-02,1.773702859878540039e+00,1.781068682670593262e+00
9.893450062064564066e-02,1.782312393188476562e+00,1.781068682670593262e+00
1.013468409176258578e-01,1.772027969360351562e+00,1.781068682670593262e+00
1.037591812146060610e-01,1.787117004394531250e+00,1.781068682670593262e+00
1.061715215115862782e-01,1.786432981491088867e+00,1.781068682670593262e+00
1.085838618085664953e-01,1.794659972190856934e+00,1.781068682670593040e+00
1.109962021055466985e-01,1.792238712310791016e+00,1.781068682670593262e+00
1.134085424025269156e-01,1.798461675643920898e+00,1.781068682670593262e+00
1.158208826995071328e-01,1.787210226058959961e+00,1.781068682670593262e+00
1.182332229964873360e-01,1.793005585670471191e+00,1.781068682670593262e+00
1.206455632934675531e-01,1.794861793518066406e+00,1.781068682670593040e+00
1.230579035904477703e-01,1.800027847290039062e+00,1.781068682670593262e+00
1.254702438874279735e-01,1.779757022857666016e+00,1.781068682670593262e+00
1.278825841844081768e-01,1.789248347282409668e+00,1.781068682670593262e+00
1.302949244813884078e-01,1.777456998825073242e+00,1.781068682670593262e+00
1.327072647783686110e-01,1.779136896133422852e+00,1.781068682670593262e+00
1.351196050753488420e-01,1.766470670700073242e+00,1.781068682670593262e+00
1.375319453723290453e-01,1.771765112876892090e+00,1.781068682670593262e+00
1.399442856693092485e-01,1.764127850532531738e+00,1.781068682670593040e+00
1.423566259662894795e-01,1.766971588134765625e+00,1.781068682670593262e+00
1.447689662632696828e-01,1.765209317207336426e+00,1.781068682670593262e+00
1.471813065602498860e-01,1.779503822326660156e+00,1.781068682670593262e+00
1.495936468572301170e-01,1.765672683715820312e+00,1.781068682670593262e+00
1.520059871542103203e-01,1.780708670616149902e+00,1.781068682670593262e+00
1.544183274511905235e-01,1.771407842636108398e+00,1.781068682670593262e+00
1.568306677481707545e-01,1.785565495491027832e+00,1.781068682670593262e+00
1.592430080451509578e-01,1.781273841857910156e+00,1.781068682670593262e+00
1.616553483421311610e-01,1.791054010391235352e+00,1.781068682670593262e+00
1.640676886391113920e-01,1.779258251190185547e+00,1.781068682670593262e+00
1.664800289360915952e-01,1.783435940742492676e+00,1.781068682670593262e+00
1.688923692330717985e-01,1.782159090042114258e+00,1.781068682670593262e+00
1.713047095300520295e-01,1.795117616653442383e+00,1.781068682670593262e+00
1.737170498270322327e-01,1.772876977920532227e+00,1.781068682670593262e+00
1.761293901240124360e-01,1.779577851295471191e+00,1.781068682670593262e+00
1.785417304209926670e-01,1.781059503555297852e+00,1.781068682670593262e+00
1.809540707179728702e-01,1.780162572860717773e+00,1.781068682670593262e+00
1.833664110149530735e-01,1.778738498687744141e+00,1.781068682670593262e+00
1.857787513119333045e-01,1.789081096649169922e+00,1.781068682670593484e+00
1.881910916089135077e-01,1.783032059669494629e+00,1.781068682670593262e+00
1.906034319058937110e-01,1.796332359313964844e+00,1.781068682670593262e+00
1.930157722028739420e-01,1.773215889930725098e+00,1.781068682670593262e+00
1.954281124998541452e-01,1.790458321571350098e+00,1.781068682670593262e+00
1.978404527968343762e-01,1.779446363449096680e+00,1.781068682670593262e+00
2.002527930938145795e-01,1.791227459907531738e+00,1.781068682670593262e+00
2.026651333907947827e-01,1.776405453681945801e+00,1.781068682670593484e+00
2.050774736877750137e-01,1.783156991004943848e+00,1.781068682670593262e+00
2.074898139847552170e-01,1.783771514892578125e+00,1.781068682670593262e+00
2.099021542817354202e-01,1.785332083702087402e+00,1.781068682670593262e+00
2.123144945787156512e-01,1.775320291519165039e+00,1.781068682670593484e+00
2.147268348756958545e-01,1.794078588485717773e+00,1.781068682670593262e+00
2.171391751726760577e-01,1.795571923255920410e+00,1.781068682670593040e+00
2.195515154696562887e-01,1.806804299354553223e+00,1.781068682670593484e+00
2.219638557666364920e-01,1.794982075691223145e+00,1.781068682670593484e+00
2.243761960636166952e-01,1.803842663764953613e+00,1.781068682670593262e+00
2.267885363605969262e-01,1.792794227600097656e+00,1.781068682670593484e+00
2.292008766575771295e-01,1.799373269081115723e+00,1.781068682670593262e+00
2.316132169545573327e-01,1.788541078567504883e+00,1.781068682670593262e+00
2.340255572515375637e-01,1.797860622406005859e+00,1.781068682670593262e+00
2.364378975485177670e-01,1.790889501571655273e+00,1.781068682670593262e+00
2.388502378454979702e-01,1.798186182975769043e+00,1.781068682670593262e+00
2.412625781424782012e-01,1.785907387733459473e+00,1.781068682670593262e+00
2.436749184394584045e-01,1.796829104423522949e+00,1.781068682670593484e+00
2.460872587364386077e-01,1.786715626716613770e+00,1.781068682670593484e+00
2.484995990334188387e-01,1.788331866264343262e+00,1.781068682670593262e+00
2.509119393303990142e-01,1.786323428153991699e+00,1.781068682670593262e+00
2.533242796273792452e-01,1.794844150543212891e+00,1.781068682670593262e+00
2.557366199243594762e-01,1.772899270057678223e+00,1.781068682670593262e+00
2.581489602213397072e-01,1.777365565299987793e+00,1.781068682670593262e+00
2.605613005183198827e-01,1.780473470687866211e+00,1.781068682670593262e+00
2.629736408153001137e-01,1.772763967514038086e+00,1.781068682670593484e+00
2.653859811122803447e-01,1.786915659904479980e+00,1.781068682670593262e+00
2.677983214092605202e-01,1.793832659721374512e+00,1.781068682670593484e+00
2.702106617062407512e-01,1.779497385025024414e+00,1.781068682670593262e+00
2.726230020032209822e-01,1.783979654312133789e+00,1.781068682670593262e+00
2.750353423002011577e-01,1.773069024085998535e+00,1.781068682670593262e+00
2.774476825971813887e-01,1.788338303565979004e+00,1.781068682670593262e+00
2.798600228941616197e-01,1.778798937797546387e+00,1.781068682670593262e+00
2.822723631911417952e-01,1.790378332138061523e+00,1.781068682670593262e+00
2.846847034881220262e-01,1.783874869346618652e+00,1.781068682670593262e+00
2.870970437851022572e-01,1.792526125907897949e+00,1.781068682670593484e+00
2.895093840820824327e-01,1.780560612678527832e+00,1.781068682670593262e+00
2.919217243790626637e-01,1.796028375625610352e+00,1.781068682670593262e+00
2.943340646760428947e-01,1.779251813888549805e+00,1.781068682670593262e+00
2.967464049730230702e-01,1.784376859664916992e+00,1.781068682670593262e+00
2.991587452700033012e-01,1.764857411384582520e+00,1.781068682670593262e+00
3.015710855669835322e-01,1.777752280235290527e+00,1.781068682670593262e+00
3.039834258639637077e-01,1.768392562866210938e+00,1.781068682670593262e+00
3.063957661609439387e-01,1.777117133140563965e+00,1.781068682670593262e+00
3.088081064579241697e-01,1.762640118598937988e+00,1.781068682670593484e+00
3.112204467549043452e-01,1.770712494850158691e+00,1.781068682670593262e+00
3.136327870518845762e-01,1.769095301628112793e+00,1.781068682670593262e+00
3.160451273488648072e-01,1.773900389671325684e+00,1.781068682670593262e+00
3.184574676458449827e-01,1.768944978713989258e+00,1.781068682670593262e+00
3.208698079428252137e-01,1.772537231445312500e+00,1.781068682670593262e+00
3.232821482398054447e-01,1.765082836151123047e+00,1.781068682670593262e+00
3.256944885367856202e-01,1.770013570785522461e+00,1.781068682670593262e+00
3.281068288337658512e-01,1.773111462593078613e+00,1.781068682670593040e+00
3.305191691307460822e-01,1.789276599884033203e+00,1.781068682670593484e+00
3.329315094277262577e-01,1.778559207916259766e+00,1.781068682670593262e+00
3.353438497247064887e-01,1.790311336517333984e+00,1.781068682670593262e+00
3.377561900216867197e-01,1.781500220298767090e+00,1.781068682670593262e+00
3.401685303186668952e-01,1.796015024185180664e+00,1.781068682670593262e+00
3.425808706156471262e-01,1.791247606277465820e+00,1.781068682670593262e+00
3.449932109126273572e-01,1.792705297470092773e+00,1.781068682670593484e+00
3.474055512096075327e-01,1.776994228363037109e+00,1.781068682670593262e+00
3.498178915065877637e-01,1.783134579658508301e+00,1.781068682670593040e+00
3.522302318035679947e-01,1.762176394462585449e+00,1.781068682670593262e+00
3.546425721005481702e-01,1.763569593429565430e+00,1.781068682670593484e+00
3.570549123975284012e-01,1.766725182533264160e+00,1.781068682670593262e+00
3.594672526945086322e-01,1.770039558410644531e+00,1.781068682670593262e+00
3.618795929914888077e-01,1.770715594291687012e+00,1.781068682670593040e+00
3.642919332884690387e-01,1.776786208152770996e+00,1.781068682670593262e+00
3.667042735854492697e-01,1.775166273117065430e+00,1.781068682670593262e+00
3.691166138824294451e-01,1.783417820930480957e+00,1.781068682670593262e+00
3.715289541794096762e-01,1.768612861633300781e+00,1.781068682670593262e+00
3.739412944763899072e-01,1.781642556190490723e+00,1.781068682670593484e+00
3.763536347733700826e-01,1.772119879722595215e+00,1.781068682670593262e+00
3.787659750703503136e-01,1.778491139411926270e+00,1.781068682670593484e+00
3.811783153673305446e-01,1.777839183807373047e+00,1.781068682670593262e+00
3.835906556643107201e-01,1.784528493881225586e+00,1.781068682670593262e+00
3.860029959612909511e-01,1.777547597885131836e+00,1.781068682670593484e+00
3.884153362582711821e-01,1.787966847419738770e+00,1.781068682670593040e+00
3.908276765552514131e-01,1.783183693885803223e+00,1.781068682670593262e+00
3.932400168522315886e-01,1.795394062995910645e+00,1.781068682670593262e+00
3.956523571492118196e-01,1.776991248130798340e+00,1.781068682670593040e+00
3.980646974461920506e-01,1.795612573623657227e+00,1.781068682670593040e+00
4.004770377431722261e-01,1.794389367103576660e+00,1.781068682670593484e+00
4.028893780401524571e-01,1.796908736228942871e+00,1.781068682670593262e+00
4.053017183371326881e-01,1.780794262886047363e+00,1.781068682670593262e+00
4.077140586341128636e-01,1.793741345405578613e+00,1.781068682670593484e+00
4.101263989310930946e-01,1.776509404182434082e+00,1.781068682670593484e+00
4.125387392280733256e-01,1.786111235618591309e+00,1.781068682670593262e+00
4.149510795250535011e-01,1.767365217208862305e+00,1.781068682670593040e+00
4.173634198220337321e-01,1.768390059471130371e+00,1.781068682670593484e+00
4.197757601190139631e-01,1.769751548767089844e+00,1.781068682670593262e+00
4.221881004159941386e-01,1.776730418205261230e+00,1.781068682670593262e+00
4.246004407129743696e-01,1.763289213180541992e+00,1.781068682670593262e+00
4.270127810099546006e-01,1.775300383567810059e+00,1.781068682670593262e+00
4.294251213069347761e-01,1.782811164855957031e+00,1.781068682670593262e+00
4.318374616039150071e-01,1.776142477989196777e+00,1.781068682670593262e+00
4.342498019008952381e-01,1.772818803787231445e+00,1.781068682670593262e+00
4.366621421978754136e-01,1.774745821952819824e+00,1.781068682670593262e+00
4.390744824948556446e-01,1.775282263755798340e+00,1.781068682670593040e+00
4.414868227918358756e-01,1.795804500579833984e+00,1.781068682670593040e+00
4.438991630888160511e-01,1.782374143600463867e+00,1.781068682670593262e+00
4.463115033857962821e-01,1.789118170738220215e+00,1.781068682670593262e+00
4.487238436827765131e-01,1.769453525543212891e+00,1.781068682670593484e+00
4.511361839797566886e-01,1.780273914337158203e+00,1.781068682670593262e+00
4.535485242767369196e-01,1.778607487678527832e+00,1.781068682670593262e+00
4.559608645737171506e-01,1.788765192031860352e+00,1.781068682670593262e+00
4.583732048706973261e-01,1.775180339813232422e+00,1.781068682670593262e+00
4.607855451676775571e-01,1.781433582305908203e+00,1.781068682670593262e+00
4.631978854646577881e-01,1.779228925704956055e+00,1.781068682670593262e+00
4.656102257616379636e-01,1.784179210662841797e+00,1.781068682670593262e+00
4.680225660586181946e-01,1.778381466865539551e+00,1.781068682670593262e+00
4.704349063555984256e-01,1.787737011909484863e+00,1.781068682670593262e+00
4.728472466525786011e-01,1.780310392379760742e+00,1.781068682670593484e+00
4.752595869495588321e-01,1.789526343345642090e+00,1.781068682670593262e+00
4.776719272465390631e-01,1.783072471618652344e+00,1.781068682670593484e+00
4.800842675435192386e-01,1.798553705215454102e+00,1.781068682670593484e+00
4.824966078404994696e-01,1.783929109573364258e+00,1.781068682670593262e+00
4.849089481374797006e-01,1.788253188133239746e+00,1.781068682670593262e+00
4.873212884344598761e-01,1.793708443641662598e+00,1.781068682670593262e+00
4.897336287314401071e-01,1.800878405570983887e+00,1.781068682670593262e+00
4.921459690284203381e-01,1.790007472038269043e+00,1.781068682670593484e+00
4.945583093254005136e-01,1.797459006309509277e+00,1.781068682670593484e+00
4.969706496223807446e-01,1.774924516677856445e+00,1.781068682670593484e+00
4.993829899193609756e-01,1.790794491767883301e+00,1.781068682670593484e+00
5.017953302163411511e-01,1.794892430305480957e+00,1.781068682670593484e+00
5.042076705133213821e-01,1.805005311965942383e+00,1.781068682670593262e+00
5.066200108103016131e-01,1.783001184463500977e+00,1.781068682670593262e+00
5.090323511072818441e-01,1.792387366294860840e+00,1.781068682670593262e+00
5.114446914042620751e-01,1.786783576011657715e+00,1.781068656676154660e+00
5.138570317012421951e-01,1.799111247062683105e+00,1.781068589376548550e+00
5.162693719982224261e-01,1.788995265960693359e+00,1.781068638428145778e+00
5.186817122952026571e-01,1.800333619117736816e+00,1.781068708427683500e+00
5.210940525921828881e-01,1.780701160430908203e+00,1.781068766285097027e+00
5.235063928891631191e-01,1.800384998321533203e+00,1.781068776281151234e+00
5.259187331861433501e-01,1.775377988815307617e+00,1.781068515277001385e+00
5.283310734831234701e-01,1.787010312080383301e+00,1.781067857211616534e+00
5.307434137801037011e-01,1.766989111900329590e+00,1.781067061592827905e+00
5.331557540770839321e-01,1.780166149139404297e+00,1.781067505406167761e+00
5.355680943740641631e-01,1.782100796699523926e+00,1.781070977539727096e+00
5.379804346710443941e-01,1.771002054214477539e+00,1.781078772500382268e+00
5.403927749680246251e-01,1.765596508979797363e+00,1.781086661869876631e+00
5.428051152650047451e-01,1.788254618644714355e+00,1.781072751269232368e+00
5.452174555619849761e-01,1.781239271163940430e+00,1.781013163846371317e+00
5.476297958589652071e-01,1.818700075149536133e+00,1.780922167094527220e+00
5.500421361559454381e-01,2.082276344299316406e+00,1.780846194131851634e+00
5.524544764529256691e-01,2.437234163284301758e+00,1.781939850914411982e+00
5.548668167499059001e-01,2.839094877243041992e+00,1.806734979264363883e+00
5.572791570468860201e-01,3.113369464874267578e+00,1.923406243508060998e+00
