"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      0.5354280958,       5.014462492,       4.753872823,        6.79180133
          0,           0,           1,       1.766967635,       4.918921734,       4.664756097,       8.072853685
          0,           0,           2,       1.711425875,       4.847761374,       4.653943752,       8.011613514
          0,           0,           3,       1.714066085,       4.831229105,       4.709368917,        8.01390591
          0,           0,           4,       1.665812273,       4.785248444,       4.672516094,       7.962781864
          0,           0,           5,       1.624303529,       4.749473005,       4.635734963,       7.917629695
          0,           0,           6,       1.668967163,       4.791658557,       4.692885522,       7.972369611
          0,           0,           7,       1.627280012,        4.76992604,       4.638638286,       7.931270133
          0,           0,           8,       1.714147536,       4.858727197,       4.725607183,       8.028504088
          0,           0,           9,       1.697842163,       4.855850979,       4.705678877,       8.013135648
          0,           0,          10,        1.72058498,       4.888640516,        4.72100496,       8.033908736
          0,           0,          11,       1.701506549,       4.865756074,       4.699627194,         8.0115917
          0,           0,          12,        1.60293956,       4.775213229,       4.593541676,       7.907829997
          0,           0,          13,       1.548106527,       4.717021395,       4.531254903,       7.851603699
          0,           0,          14,       1.536377531,       4.701780608,       4.518625206,       7.836617211
          0,           0,          15,       1.213159794,       4.398951622,       4.170431949,       7.510461506
          0,           0,          16,      0.6393687528,       3.845951571,       3.583443269,       6.935646927
          0,           0,          17,      0.1008942451,       3.300253021,       3.036320373,       6.390687376
          0,           0,          18,     -0.2625208795,       2.943368852,       2.663358766,       6.028909204
          0,           0,          19,     -0.6818147097,       2.526966409,       2.239668639,       5.610084135
          0,           0,          20,      -1.284010019,        1.91660375,       1.636275901,       5.001360753
          0,           0,          21,      -1.759919791,        1.44312838,       1.157061368,       4.528217702
          0,           0,          22,      -2.341175607,      0.8501300272,      0.5645344175,       3.937719804
          0,           0,          23,      -2.752576845,      0.4410067357,      0.1467043936,       3.529802245
          0,           0,          24,      -3.124959966,     0.07269274049,     -0.2274106855,        3.16200169
          0,           0,          25,      -3.633629803,     -0.4522813614,       -0.74694136,       2.646197232
          0,           0,          26,      -3.968877324,     -0.7774077029,      -1.077599725,       2.316786061
          0,           0,          27,      -4.344873155,      -1.151670211,      -1.449279539,        1.94207076
          0,           0,          28,       -4.72675318,      -1.531929436,       -1.82720581,       1.561006234
          0,           0,          29,      -5.114068545,      -1.917749663,      -2.211365095,       1.174156193
          0,           0,          30,      -5.509108843,      -2.311684946,      -2.604079173,      0.7792949158
          0,           0,          31,      -5.913388209,      -2.715312505,      -3.006912271,       0.374983811
          0,           0,          32,      -6.276504649,      -3.072692929,      -3.368140068,     0.01468911398
          0,           0,          33,      -6.811827296,      -3.619835274,      -3.907721037,     -0.5270063306
          0,           0,          34,      -7.197565629,      -3.999065834,      -4.293883304,     -0.9092834356
          0,           0,          35,      -7.719790108,      -4.534946556,      -4.826627305,      -1.440162709
          0,           0,          36,      -8.095169237,      -4.903105233,      -5.201218758,      -1.811546429
          0,           0,          37,      -8.479652894,      -5.282254019,      -5.585786738,      -2.192336461
          0,           0,          38,      -9.022639783,      -5.843636721,      -6.145794033,      -2.743925369
          0,           0,          39,      -9.439908493,      -6.257688782,      -6.572409274,      -3.158566029
          0,           0,          40,      -9.871034408,      -6.687053218,      -7.017215084,      -3.586198603
          0,           0,          41,      -10.41234136,       -7.25399243,      -7.605956651,      -4.134722441
          0,           0,          42,      -10.84683105,      -7.683169347,      -8.076501177,      -4.566832073
          0,           0,          43,       -11.2646957,      -8.075693176,      -8.543798334,      -4.971969636
