x,npz,vtu
4.853229038417339325e-03,1.870565176010131836e+00,1.893566250801086648e+00
7.265569335397552113e-03,1.906112670898437500e+00,1.893566250801086426e+00
9.677909632377764901e-03,1.884969472885131836e+00,1.893566250801086648e+00
1.209024992935797682e-02,1.906253218650817871e+00,1.893566250801086426e+00
1.450259022633819048e-02,1.895445942878723145e+00,1.893566250801086648e+00
1.691493052331840413e-02,1.911151528358459473e+00,1.893566250801086426e+00
1.932727082029861432e-02,1.895835280418395996e+00,1.893566250801086648e+00
2.173961111727882797e-02,1.910127520561218262e+00,1.893566250801086426e+00
2.415195141425904163e-02,1.899213433265686035e+00,1.893566250801086426e+00
2.656429171123925528e-02,1.907891154289245605e+00,1.893566250801086426e+00
2.897663200821946894e-02,1.898660898208618164e+00,1.893566250801086426e+00
3.138897230519967912e-02,1.903827309608459473e+00,1.893566250801086426e+00
3.380131260217988931e-02,1.891767263412475586e+00,1.893566250801086426e+00
3.621365289916010644e-02,1.899085283279418945e+00,1.893566250801086204e+00
3.862599319614031662e-02,1.882474780082702637e+00,1.893566250801086648e+00
4.103833349312053375e-02,1.892827153205871582e+00,1.893566250801086426e+00
4.345067379010074393e-02,1.871296405792236328e+00,1.893566250801086426e+00
4.586301408708095412e-02,1.879106044769287109e+00,1.893566250801086426e+00
4.827535438406117124e-02,1.868162393569946289e+00,1.893566250801086648e+00
5.068769468104138143e-02,1.885467529296875000e+00,1.893566250801086426e+00
5.310003497802159855e-02,1.874341726303100586e+00,1.893566250801086648e+00
5.551237527500180874e-02,1.883684396743774414e+00,1.893566250801086204e+00
5.792471557198201892e-02,1.877440571784973145e+00,1.893566250801086204e+00
6.033705586896223605e-02,1.897268295288085938e+00,1.893566250801086426e+00
6.274939616594243930e-02,1.883097290992736816e+00,1.893566250801086204e+00
6.516173646292265642e-02,1.889316201210021973e+00,1.893566250801086204e+00
6.757407675990287355e-02,1.878872752189636230e+00,1.893566250801086204e+00
6.998641705688309067e-02,1.892328262329101562e+00,1.893566250801086426e+00
7.239875735386329392e-02,1.878561377525329590e+00,1.893566250801086426e+00
7.481109765084351104e-02,1.903560996055603027e+00,1.893566250801086426e+00
7.722343794782372817e-02,1.886838674545288086e+00,1.893566250801086426e+00
7.963577824480393141e-02,1.907922625541687012e+00,1.893566250801086426e+00
8.204811854178414854e-02,1.900929927825927734e+00,1.893566250801086204e+00
8.446045883876436566e-02,1.908817648887634277e+00,1.893566250801086648e+00
8.687279913574456891e-02,1.915395736694335938e+00,1.893566250801086426e+00
8.928513943272478603e-02,1.921242713928222656e+00,1.893566250801086426e+00
9.169747972970500316e-02,1.907703042030334473e+00,1.893566250801086426e+00
9.410982002668520641e-02,1.906254291534423828e+00,1.893566250801086426e+00
9.652216032366542353e-02,1.895718216896057129e+00,1.893566250801086426e+00
9.893450062064564066e-02,1.901876688003540039e+00,1.893566250801086426e+00
1.013468409176258578e-01,1.886397361755371094e+00,1.893566250801086426e+00
1.037591812146060610e-01,1.898297667503356934e+00,1.893566250801086426e+00
1.061715215115862782e-01,1.880307435989379883e+00,1.893566250801086648e+00
1.085838618085664953e-01,1.883834362030029297e+00,1.893566250801086204e+00
1.109962021055466985e-01,1.880956768989562988e+00,1.893566250801086426e+00
1.134085424025269156e-01,1.893292665481567383e+00,1.893566250801086426e+00
1.158208826995071328e-01,1.876842021942138672e+00,1.893566250801086426e+00
1.182332229964873360e-01,1.889741659164428711e+00,1.893566250801086426e+00
1.206455632934675531e-01,1.872319817543029785e+00,1.893566250801086426e+00
1.230579035904477703e-01,1.887158155441284180e+00,1.893566250801086426e+00
1.254702438874279735e-01,1.883285880088806152e+00,1.893566250801086426e+00
1.278825841844081768e-01,1.896758079528808594e+00,1.893566250801086426e+00
1.302949244813884078e-01,1.889069676399230957e+00,1.893566250801086648e+00
1.327072647783686110e-01,1.897563576698303223e+00,1.893566250801086426e+00
1.351196050753488420e-01,1.881715059280395508e+00,1.893566250801086648e+00
1.375319453723290453e-01,1.902176976203918457e+00,1.893566250801086426e+00
1.399442856693092485e-01,1.884390354156494141e+00,1.893566250801086426e+00
1.423566259662894795e-01,1.898480892181396484e+00,1.893566250801086426e+00
1.447689662632696828e-01,1.877015948295593262e+00,1.893566250801086204e+00
1.471813065602498860e-01,1.889695167541503906e+00,1.893566250801086426e+00
1.495936468572301170e-01,1.876906991004943848e+00,1.893566250801086426e+00
1.520059871542103203e-01,1.880317330360412598e+00,1.893566250801086426e+00
1.544183274511905235e-01,1.863184809684753418e+00,1.893566250801086204e+00
1.568306677481707545e-01,1.880879402160644531e+00,1.893566250801086648e+00
1.592430080451509578e-01,1.872129559516906738e+00,1.893566250801086648e+00
1.616553483421311610e-01,1.878335714340209961e+00,1.893566250801086426e+00
1.640676886391113920e-01,1.870507478713989258e+00,1.893566250801086426e+00
1.664800289360915952e-01,1.885973215103149414e+00,1.893566250801086426e+00
1.688923692330717985e-01,1.877311706542968750e+00,1.893566250801086426e+00
