"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      0.6645319717,       5.190778178,       4.930188509,       6.978021168
          0,           0,           1,       1.917018316,       5.097126411,       4.842248191,       8.276857108
          0,           0,           2,       1.860323755,       5.025150651,       4.829355677,       8.214635483
          0,           0,           3,       1.864095388,       5.009721873,       4.886043121,       8.217908793
          0,           0,           4,       1.816546896,       4.964009726,        4.85092766,       8.167795092
          0,           0,           5,       1.773659653,       4.927250374,       4.812073122,       8.121111249
          0,           0,           6,       1.819977235,       4.971106699,       4.870646705,        8.17736531
          0,           0,           7,       1.777555231,       4.948561975,       4.815654813,       8.135667072
          0,           0,           8,       1.863235206,       5.036647978,       4.901299622,       8.231144835
          0,           0,           9,       1.858194425,       5.044831427,       4.892050033,       8.228471931
          0,           0,          10,       1.866453308,       5.064182888,       4.891127073,        8.23280277
          0,           0,          11,       1.850780219,       5.041394528,       4.877561371,        8.21465675
          0,           0,          12,       1.753277399,       4.951660908,       4.772537656,       8.111805077
          0,           0,          13,       1.708242736,       4.904340804,       4.720098777,       8.066411804
          0,           0,          14,       1.728569128,       4.925951905,       4.723207309,       8.079110285
          0,           0,          15,       1.496469995,       4.690847504,       4.500300259,       7.846824061
          0,           0,          16,      0.9007441062,       4.110344509,       3.871796057,       7.249473519
          0,           0,          17,       0.250221923,        3.47490157,        3.24611542,       6.592806141
          0,           0,          18,      -0.119346669,       3.114845774,       2.834121989,       6.226276399
          0,           0,          19,      -0.541574379,       2.695608328,       2.405545036,       5.804583466
          0,           0,          20,      -1.148502021,       2.080657887,       1.797099045,       5.191229718
          0,           0,          21,      -1.638725529,       1.592298125,       1.302930982,       4.703383476
          0,           0,          22,      -2.234224929,      0.9843506262,      0.6940118895,        4.09825341
          0,           0,          23,      -2.669261145,      0.5497852227,      0.2496460513,        3.66580827
          0,           0,          24,      -3.060079856,       0.162500162,     -0.1444141895,       3.280068396
          0,           0,          25,      -3.567718463,     -0.3624868699,     -0.6657981035,        2.76584387
          0,           0,          26,      -3.900212283,      -0.683417847,     -0.9909821839,       2.439048245
          0,           0,          27,      -4.267487642,      -1.047717371,      -1.351220491,        2.07346757
          0,           0,          28,      -4.639254773,      -1.416765264,      -1.716638958,       1.702815892
          0,           0,          29,      -5.016972913,       -1.79221755,      -2.089494063,       1.325733568
          0,           0,          30,      -5.403780712,      -2.177420845,      -2.472826273,       0.939201179
          0,           0,          31,      -5.801449532,      -2.574107562,      -2.868267135,      0.5415577328
          0,           0,          32,      -6.210839714,      -2.983057641,      -3.276561215,      0.1320064672
          0,           0,          33,      -6.581725775,      -3.348776544,      -3.646411424,     -0.2362762507
          0,           0,          34,      -7.124772119,      -3.903365556,      -4.193607979,     -0.7857116567
          0,           0,          35,      -7.520739173,      -4.293562764,      -4.591288083,       -1.17844566
          0,           0,          36,       -8.05086815,      -4.837664597,      -5.133064544,      -1.717464341
          0,           0,          37,      -8.437178083,      -5.217733737,      -5.520587726,      -2.100173036
          0,           0,          38,      -8.834115203,      -5.610236466,       -5.91974993,      -2.493582311
          0,           0,          39,       -9.38123173,      -6.177706726,      -6.488927753,      -3.049640501
          0,           0,          40,       -9.80765726,      -6.602620982,      -6.930742712,      -3.474161229
          0,           0,          41,      -10.24627605,      -7.040606084,       -7.39211026,      -3.909007622
          0,           0,          42,      -10.77239456,       -7.58908694,      -7.982668385,      -4.438847301
          0,           0,          43,      -11.16803239,      -7.950287467,      -8.434341205,      -4.817502398
          0,           0,          44,      -11.40461252,      -8.126737012,      -8.710950754,      -5.030651244
          0,           0,          45,      -11.44882877,      -8.142933196,      -8.763816663,      -5.061806268
          0,           0,          46,      -11.50837185,      -8.187589533,      -8.870949864,      -5.101845366
