"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      0.7227808582,       4.710412229,        4.44982256,       6.769713665
          0,           0,           1,        1.58101831,       4.622220458,       4.370399198,       7.719403543
          0,           0,           2,        1.50614228,       4.528145228,       4.344325477,        7.64120939
          0,           0,           3,       1.485197742,       4.485391685,       4.386247337,       7.619597549
          0,           0,           4,       1.411427611,       4.412193979,        4.32820858,       7.541621956
          0,           0,           5,       1.397198751,       4.400012887,       4.321047076,       7.521825375
          0,           0,           6,       1.383155644,       4.391418375,       4.313966705,       7.514951945
          0,           0,           7,       1.438468461,       4.447530892,       4.380432166,       7.579968027
          0,           0,           8,       1.407791531,       4.437619455,       4.338165992,       7.546938392
          0,           0,           9,        1.49047533,       4.534675089,       4.432077132,        7.64775249
          0,           0,          10,       1.355462697,       4.396858973,       4.290194051,       7.498104369
          0,           0,          11,       1.427304342,       4.472708502,        4.35836814,       7.574787532
          0,           0,          12,       1.437589793,       4.481671951,       4.368158611,       7.578876519
          0,           0,          13,       1.324329062,       4.370649298,       4.241331959,       7.454980699
          0,           0,          14,       1.198444915,       4.259767416,       4.101667274,       7.331065713
          0,           0,          15,       1.042245259,       4.120468094,       3.931413122,       7.176677791
          0,           0,          16,      0.8137004563,       3.897545644,       3.694011251,       6.942854116
          0,           0,          17,      0.2599056239,       3.326438044,       3.160326395,       6.380134599
          0,           0,          18,     0.01574675432,       3.094769056,       2.899020206,       6.137852303
          0,           0,          19,     -0.2535002626,       2.830858776,       2.623087342,         5.8692267
          0,           0,          20,     -0.7341598168,       2.336113928,        2.14019536,        5.37875685
          0,           0,          21,       -1.03139101,       2.047446167,       1.843060748,       5.087294947
          0,           0,          22,      -1.489774656,       1.575116342,       1.378508521,       4.617492989
          0,           0,          23,      -1.761767671,       1.313126963,       1.107915722,       4.352949977
          0,           0,          24,      -2.030550154,       1.051510645,       0.839598005,         4.0886475
          0,           0,          25,      -2.504365096,      0.5626394962,      0.3622524931,       3.604110697
          0,           0,          26,      -2.808897955,      0.2671002581,     0.05937246996,       3.306573838
          0,           0,          27,      -3.121988016,     -0.0398483683,     -0.2531072558,       2.997439982
          0,           0,          28,      -3.626966586,     -0.5596650492,     -0.7618368584,       2.482499619
          0,           0,          29,      -3.971538586,     -0.8959820629,      -1.105247903,       2.144389915
          0,           0,          30,      -4.374270634,      -1.299731881,      -1.509492465,       1.741009027
          0,           0,          31,      -4.791323173,      -1.718199932,      -1.928227379,       1.323534924
          0,           0,          32,      -5.215573242,      -2.143802481,      -2.354879053,      0.8989470911
          0,           0,          33,      -5.645336326,      -2.575028484,      -2.787879026,      0.4688005322
          0,           0,          34,      -6.035408037,      -2.959535327,      -3.178638674,     0.08278091245
          0,           0,          35,      -6.573444637,      -3.514965386,      -3.730473814,      -0.464436624
          0,           0,          36,      -6.974875493,       -3.90904929,      -4.133699251,     -0.8606489564
          0,           0,          37,      -7.488742772,      -4.443669644,      -4.671980092,      -1.385695161
