"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      0.4958374728,       5.014462492,       4.753872823,       6.831391953
          0,           0,           1,       1.727377012,       4.918921734,       4.664756097,       8.112444308
          0,           0,           2,       1.671835252,       4.847761374,       4.653943752,       8.051204137
          0,           0,           3,       1.674475462,       4.831229105,       4.709368917,       8.053496533
          0,           0,           4,        1.62622165,       4.785248444,       4.672516094,       8.002372487
          0,           0,           5,       1.584712906,       4.749473005,       4.635734963,       7.957220318
          0,           0,           6,        1.62937654,       4.791658557,       4.692885522,       8.011960234
          0,           0,           7,       1.587689389,        4.76992604,       4.638638286,       7.970860756
          0,           0,           8,       1.674556913,       4.858727197,       4.725607183,       8.068094711
          0,           0,           9,        1.65825154,        4.85585098,       4.705678877,       8.052726271
          0,           0,          10,       1.680994357,       4.888640516,        4.72100496,       8.073499359
          0,           0,          11,       1.661915927,       4.865756074,       4.699627194,       8.051182324
          0,           0,          12,       1.563348937,       4.775213229,       4.593541677,       7.947420621
          0,           0,          13,       1.508515905,       4.717021395,       4.531254904,       7.891194323
          0,           0,          14,       1.496786909,        4.70178061,       4.518625207,       7.876207836
          0,           0,          15,       1.173569173,       4.398951623,       4.170431952,       7.550052132
          0,           0,          16,      0.5997781299,       3.845951572,       3.583443269,        6.97523755
          0,           0,          17,     0.06130362182,       3.300253021,       3.036320373,       6.430277998
          0,           0,          18,     -0.3021115032,       2.943368851,       2.663358766,       6.068499827
          0,           0,          19,     -0.7214053341,       2.526966408,       2.239668637,       5.649674757
          0,           0,          20,      -1.323600644,       1.916603748,       1.636275898,       5.040951374
          0,           0,          21,      -1.799510418,       1.443128377,       1.157061365,       4.567808322
          0,           0,          22,      -2.380766234,      0.8501300224,      0.5645344125,       3.977310422
          0,           0,          23,      -2.792167475,       0.441006729,      0.1467043866,       3.569392861
          0,           0,          24,      -3.164550597,     0.07269273228,     -0.2274106943,       3.201592305
          0,           0,          25,      -3.673220434,     -0.4522813697,     -0.7469413689,       2.685787847
          0,           0,          26,      -4.008467955,     -0.7774077114,      -1.077599734,       2.356376676
          0,           0,          27,      -4.384463786,       -1.15167022,      -1.449279548,       1.981661375
          0,           0,          28,      -4.766343812,      -1.531929446,      -1.827205819,       1.600596848
          0,           0,          29,      -5.153659174,      -1.917749668,        -2.2113651,        1.21374681
          0,           0,          30,      -5.548699469,      -2.311684949,      -2.604079175,       0.818885537
          0,           0,          31,      -5.952978805,       -2.71531247,      -3.006912229,      0.4145744689
          0,           0,          32,      -6.316095183,      -3.072692844,      -3.368139967,     0.05427984118
          0,           0,          33,      -6.851417632,      -3.619834957,      -3.907720612,     -0.4874153646
          0,           0,          34,      -7.237156054,      -3.999065537,      -4.293883391,     -0.8696926184
          0,           0,          35,      -7.759382203,      -4.534948366,      -4.826630065,      -1.400573845
          0,           0,          36,      -8.134761935,      -4.903106435,      -5.201222239,      -1.771958151
          0,           0,          37,      -8.519253932,      -5.282266575,      -5.585795941,        -2.1527568
          0,           0,          38,      -9.062245258,      -5.843660457,      -6.145819852,      -2.704352487
          0,           0,          39,      -9.479552462,      -6.257742529,        -6.5724022,      -3.119000996
          0,           0,          40,       -9.91048867,      -6.686934103,      -7.017063726,      -3.546448733
          0,           0,          41,      -10.45176334,      -7.253687235,      -7.605905558,      -4.094874164
          0,           0,          42,      -10.88588279,      -7.682241894,      -8.076107009,      -4.526183869
          0,           0,          43,      -11.29564338,      -8.063513069,      -8.535433722,      -4.920730281
          0,           0,          44,      -11.59516765,      -8.310764864,       -8.86968612,      -5.206931436
          0,           0,          45,      -11.66655088,      -8.341475467,      -8.959803228,      -5.258341906
          0,           0,          46,       -11.7238808,      -8.382232842,      -9.049544882,      -5.297203619
          0,           0,          47,      -11.72398889,      -8.376210713,      -9.058059465,      -5.294043478
          0,           0,          48,      -11.71737111,       -8.36826165,      -9.047933626,      -5.284629521
          0,           0,          49,      -11.73039605,      -8.383931233,      -9.057005037,      -5.297490126
          0,           0,          50,      -11.72579511,      -8.374379947,      -9.059333599,      -5.294203054
          0,           0,          51,       -11.7131602,      -8.365709867,      -9.050068753,      -5.280216238
          0,           0,          52,      -11.72616241,      -8.376929812,      -9.074189926,       -5.29526393
          0,           0,          53,       -11.7210387,      -8.371915515,        -9.0499168,      -5.291835233
          0,           0,          54,      -11.72320922,      -8.375680211,      -9.057152038,      -5.292015079
          0,           0,          55,      -11.73593748,      -8.387395366,      -9.074967246,      -5.301077025
          0,           0,          56,      -11.72860585,      -8.379868992,      -9.050153076,      -5.293034473
          0,           0,          57,      -11.72116981,      -8.372470196,      -9.042017594,      -5.290003421
          0,           0,          58,      -11.73624751,       -8.38682652,      -9.063225677,      -5.301187971
          0,           0,          59,      -11.73154893,       -8.38183052,      -9.054189202,      -5.297895219
          0,           0,          60,      -11.73954931,      -8.388887766,      -9.064329632,      -5.303315505
          0,           0,          61,      -11.73981879,       -8.38889182,      -9.074823296,      -5.303293958
          0,           0,          62,       -11.7185974,      -8.374103244,      -9.060100563,      -5.285440224
          0,           0,          63,      -11.70203942,      -8.356407918,      -9.047801469,      -5.274760749
          0,           0,          64,       -11.7166249,      -8.371845522,      -9.033653678,      -5.286165086
          0,           0,          65,      -11.71792288,      -8.370141734,      -9.040573022,      -5.286192652
          0,           0,          66,      -11.71947376,      -8.374644414,       -9.03206967,      -5.288197571
          0,           0,          67,      -11.73329045,      -8.384066435,      -9.064974749,      -5.301132332
          0,           0,          68,      -11.74393603,      -8.393022195,      -9.073304915,       -5.30656953
          0,           0,          69,      -11.72836204,      -8.382496105,      -9.056782158,      -5.296707557
          0,           0,          70,      -11.71905167,      -8.374640547,      -9.028406361,       -5.28958283
          0,           0,          71,      -11.73739391,      -8.387420396,      -9.057724251,      -5.302606656
          0,           0,          72,      -11.73327192,      -8.384022146,      -9.068171599,      -5.296810899
          0,           0,          73,      -11.72281173,      -8.373011554,      -9.046774218,       -5.28739376
          0,           0,          74,      -11.73486561,      -8.387126569,      -9.060052566,      -5.300704256
          0,           0,          75,       -11.7321955,      -8.382938543,      -9.056308506,      -5.297268319
          0,           0,          76,      -11.71977574,      -8.371062787,      -9.036216238,       -5.28491912
          0,           0,          77,      -11.73768952,      -8.386518541,      -9.070780166,      -5.301327814
          0,           0,          78,      -11.72804559,      -8.375528367,       -9.05490703,      -5.293716743
          0,           0,          79,      -11.71645002,      -8.367181798,      -9.042073567,       -5.28372492
          0,           0,          80,      -11.73427965,      -8.386390792,      -9.074759892,      -5.302275737
          0,           0,          81,      -11.73131427,      -8.380245152,      -9.053180218,      -5.297073459
          0,           0,          82,      -11.73771463,      -8.387334295,      -9.063555259,      -5.301902428
          0,           0,          83,      -11.73160417,      -8.381191745,      -9.059559475,      -5.298510255
          0,           0,          84,      -11.71961345,      -8.370356759,      -9.057274611,      -5.290077262
          0,           0,          85,      -11.73847761,      -8.388974241,      -9.064866896,      -5.302564446
          0,           0,          86,      -11.73001533,      -8.383144974,      -9.061742296,      -5.299520301
          0,           0,          87,      -11.71128897,      -8.365608382,      -9.037332042,      -5.277892538
          0,           0,          88,      -11.73043974,      -8.380430828,      -9.055107996,      -5.295472688
          0,           0,          89,      -11.72391852,      -8.373165033,      -9.047439684,      -5.290131353
          0,           0,          90,      -11.70775528,      -8.363249366,      -9.026227459,      -5.281548189
          0,           0,          91,      -11.73042395,      -8.380806349,      -9.065272879,       -5.29297235
          0,           0,          92,      -11.71608627,      -8.370324509,      -9.054465503,      -5.287725161
          0,           0,          93,      -11.73607716,      -8.387014972,      -9.066480124,      -5.298389791
          0,           0,          94,      -11.73123463,      -8.380982098,      -9.048361621,      -5.296761448
          0,           0,          95,      -11.70842279,      -8.365480792,      -9.012671464,      -5.281043085
          0,           0,          96,      -11.73241555,      -8.385631461,      -9.045424756,      -5.297208182
          0,           0,          97,      -11.72369237,      -8.377947673,      -9.049725486,        -5.2912821
          0,           0,          98,      -11.71849162,      -8.369925207,      -9.055205045,      -5.284801815
          0,           0,          99,       -11.7129585,      -8.365445021,       -9.04940909,      -5.282345125
          0,           0,         100,      -11.73042163,      -8.381570853,      -9.054084756,      -5.297135618
          0,           0,         101,      -11.72024035,      -8.372827723,      -9.036578069,      -5.287053061
          0,           0,         102,      -11.71314354,      -8.366345664,      -9.045986006,      -5.281658189
          0,           0,         103,      -11.73068088,      -8.379687489,      -9.061060346,      -5.294689231
          0,           0,         104,      -11.71504946,      -8.370118726,      -9.045964882,      -5.284476605
          0,           0,         105,      -11.73437312,      -8.385687348,      -9.075785892,      -5.299836666
          0,           0,         106,      -11.72331933,      -8.376282686,      -9.049494061,      -5.291298104
          0,           0,         107,      -11.71668106,      -8.367921951,      -9.046792286,      -5.284473903
          0,           0,         108,      -11.73057282,      -8.379831869,      -9.063475188,      -5.294862693
          0,           0,         109,      -11.71767534,      -8.369947752,      -9.048299403,      -5.288364497
          0,           0,         110,      -11.71140126,       -8.36531604,      -9.038308445,      -5.282664229
          0,           0,         111,      -11.72776999,      -8.377977429,      -9.054599072,       -5.29577255
          0,           0,         112,      -11.71976324,      -8.372476522,      -9.050656002,      -5.289368806
          0,           0,         113,      -11.73592801,      -8.386297737,      -9.062953629,      -5.297431848
          0,           0,         114,      -11.73241627,       -8.38200639,       -9.05318726,      -5.298435841
          0,           0,         115,      -11.72632729,      -8.379067961,      -9.040379785,      -5.294783132
          0,           0,         116,      -11.71251562,      -8.365240508,      -9.041075842,      -5.283993777
          0,           0,         117,      -11.73595099,      -8.381890499,      -9.064842744,      -5.300413524
          0,           0,         118,      -11.73329049,       -8.38355043,      -9.069543718,       -5.29715122
          0,           0,         119,      -11.74141376,      -8.391574582,       -9.07728101,      -5.306403839
          0,           0,         120,      -11.73369553,      -8.384976414,      -9.065416809,      -5.297554937
          0,           0,         121,      -11.72214058,      -8.371450233,      -9.057400102,      -5.290194264
