x,npz,vtu
4.853229038417339325e-03,1.818958878517150879e+00,1.789173841476440430e+00
7.265569335397552113e-03,1.818524122238159180e+00,1.789173841476440430e+00
9.677909632377764901e-03,1.780751824378967285e+00,1.789173841476440208e+00
1.209024992935797682e-02,1.805178761482238770e+00,1.789173841476440430e+00
1.450259022633819048e-02,1.783213853836059570e+00,1.789173841476440430e+00
1.691493052331840413e-02,1.803578138351440430e+00,1.789173841476440430e+00
1.932727082029861432e-02,1.786692380905151367e+00,1.789173841476440430e+00
2.173961111727882797e-02,1.797472238540649414e+00,1.789173841476440430e+00
2.415195141425904163e-02,1.800937414169311523e+00,1.789173841476440430e+00
2.656429171123925528e-02,1.810277819633483887e+00,1.789173841476440430e+00
2.897663200821946894e-02,1.800270676612854004e+00,1.789173841476440430e+00
3.138897230519967912e-02,1.809707522392272949e+00,1.789173841476440430e+00
3.380131260217988931e-02,1.801413536071777344e+00,1.789173841476440430e+00
3.621365289916010644e-02,1.810449242591857910e+00,1.789173841476440430e+00
3.862599319614031662e-02,1.798510074615478516e+00,1.789173841476440652e+00
4.103833349312053375e-02,1.808248162269592285e+00,1.789173841476440430e+00
4.345067379010074393e-02,1.806086897850036621e+00,1.789173841476440430e+00
4.586301408708095412e-02,1.810125231742858887e+00,1.789173841476440430e+00
4.827535438406117124e-02,1.793153762817382812e+00,1.789173841476440430e+00
5.068769468104138143e-02,1.805666923522949219e+00,1.789173841476440430e+00
5.310003497802159855e-02,1.801406264305114746e+00,1.789173841476440430e+00
5.551237527500180874e-02,1.813495755195617676e+00,1.789173841476440652e+00
5.792471557198201892e-02,1.795533776283264160e+00,1.789173841476440430e+00
6.033705586896223605e-02,1.808403015136718750e+00,1.789173841476440430e+00
6.274939616594243930e-02,1.796219348907470703e+00,1.789173841476440430e+00
6.516173646292265642e-02,1.786334514617919922e+00,1.789173841476440430e+00
6.757407675990287355e-02,1.783547639846801758e+00,1.789173841476440430e+00
6.998641705688309067e-02,1.797452569007873535e+00,1.789173841476440208e+00
7.239875735386329392e-02,1.782938122749328613e+00,1.789173841476440430e+00
7.481109765084351104e-02,1.791261434555053711e+00,1.789173841476440652e+00
7.722343794782372817e-02,1.791062235832214355e+00,1.789173841476440652e+00
7.963577824480393141e-02,1.796174526214599609e+00,1.789173841476440430e+00
8.204811854178414854e-02,1.781113743782043457e+00,1.789173841476440208e+00
8.446045883876436566e-02,1.792651414871215820e+00,1.789173841476440430e+00
8.687279913574456891e-02,1.784189462661743164e+00,1.789173841476440430e+00
8.928513943272478603e-02,1.793457865715026855e+00,1.789173841476440430e+00
9.169747972970500316e-02,1.785151243209838867e+00,1.789173841476440430e+00
9.410982002668520641e-02,1.789206504821777344e+00,1.789173841476440430e+00
9.652216032366542353e-02,1.785378336906433105e+00,1.789173841476440430e+00
9.893450062064564066e-02,1.799776673316955566e+00,1.789173841476440430e+00
1.013468409176258578e-01,1.795632123947143555e+00,1.789173841476440430e+00
1.037591812146060610e-01,1.809005141258239746e+00,1.789173841476440430e+00
1.061715215115862782e-01,1.793567776679992676e+00,1.789173841476440652e+00
1.085838618085664953e-01,1.796737432479858398e+00,1.789173841476440430e+00
1.109962021055466985e-01,1.802271604537963867e+00,1.789173841476440430e+00
1.134085424025269156e-01,1.814799785614013672e+00,1.789173841476440430e+00
1.158208826995071328e-01,1.809449553489685059e+00,1.789173841476440430e+00
1.182332229964873360e-01,1.814767360687255859e+00,1.789173841476440208e+00
1.206455632934675531e-01,1.803797483444213867e+00,1.789173841476440430e+00
1.230579035904477703e-01,1.802211761474609375e+00,1.789173841476440430e+00
1.254702438874279735e-01,1.796947479248046875e+00,1.789173841476440208e+00
1.278825841844081768e-01,1.808652520179748535e+00,1.789173841476440430e+00
1.302949244813884078e-01,1.797464370727539062e+00,1.789173841476440430e+00
1.327072647783686110e-01,1.797101855278015137e+00,1.789173841476440430e+00
1.351196050753488420e-01,1.784619092941284180e+00,1.789173841476440430e+00
1.375319453723290453e-01,1.796177744865417480e+00,1.789173841476440430e+00
1.399442856693092485e-01,1.784350752830505371e+00,1.789173841476440430e+00
1.423566259662894795e-01,1.786212205886840820e+00,1.789173841476440430e+00
1.447689662632696828e-01,1.768089175224304199e+00,1.789173841476440430e+00
1.471813065602498860e-01,1.776398897171020508e+00,1.789173841476440430e+00
1.495936468572301170e-01,1.772364854812622070e+00,1.789173841476440430e+00
