"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       0.930588077,       4.183190348,       3.922600679,       6.513367438
          0,           0,           1,       1.325721447,       3.985717688,       3.862732469,       6.998108763
          0,           0,           2,       1.262904986,       3.878149133,       3.890017598,       6.935664544
          0,           0,           3,       1.166889871,       3.761736568,       3.827405504,       6.837011106
          0,           0,           4,       1.125696179,         3.7115534,       3.793093365,       6.781159991
          0,           0,           5,        1.09542273,        3.67581072,       3.775122318,       6.751834393
          0,           0,           6,       1.076311866,        3.67332344,       3.746114862,       6.730752445
          0,           0,           7,       1.057419189,       3.672668166,       3.729238529,       6.716332325
          0,           0,           8,       1.043974173,        3.67932404,       3.724955686,       6.707530294
          0,           0,           9,       1.058917026,       3.722673703,       3.749619467,       6.727656171
          0,           0,          10,       0.982386963,       3.615686763,       3.669281221,       6.635535279
          0,           0,          11,       1.020175669,       3.663611829,       3.709097792,        6.67760226
          0,           0,          12,       1.073483217,       3.728694578,       3.760699582,       6.729591791
          0,           0,          13,       1.008974397,       3.593474227,       3.678524366,       6.652792076
          0,           0,          14,      0.9481763247,       3.591211478,       3.612579189,       6.591490001
          0,           0,          15,       1.001525552,       3.659976862,       3.696598195,       6.654359086
          0,           0,          16,      0.9964632336,       3.638892028,       3.690432523,       6.645768987
          0,           0,          17,       1.069205845,       3.732508697,       3.743077186,       6.715702181
          0,           0,          18,      0.9020680696,       3.498703843,       3.568963478,       6.530916689
          0,           0,          19,      0.9633327706,       3.627134836,       3.652435487,       6.606248327
          0,           0,          20,       1.041811556,       3.713228317,       3.723382045,       6.684160371
          0,           0,          21,      0.8706602108,       3.529865209,       3.548255401,       6.503497945
          0,           0,          22,      0.9222626539,        3.61544257,       3.597667905,       6.560916234
          0,           0,          23,      0.7567570321,        3.35578931,       3.414634671,       6.369941376
          0,           0,          24,      0.7572157175,       3.432381533,       3.446644525,       6.391134826
          0,           0,          25,      0.8291891197,       3.538653794,       3.534090137,       6.471946388
          0,           0,          26,      0.6921096777,       3.309814968,       3.348764431,       6.302442776
          0,           0,          27,      0.7104176737,       3.371537517,       3.376086008,       6.334163019
          0,           0,          28,      0.7482385301,       3.472636791,       3.440251176,       6.386679769
          0,           0,          29,      0.5999166939,        3.23325516,       3.246985788,       6.211756764
          0,           0,          30,       0.601191262,       3.294811527,       3.261927372,       6.233907317
          0,           0,          31,       0.662856615,       3.367517799,       3.326984345,        6.30040743
