"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
          14, -0.2750722083, 0.0999414502, 0.0000000000, 0.0000000000, 0.0000000000, -0.2944912668, 0.0999414502, -0.2750722083, 0.0000000000, -2.7523335680, -0.9884089431, 1.9274022004, 1.7956971101, 4.9491203097, 0.0000000000, 3.0000000000, 1.4077545171, 0.0234863500
          15, -0.2770486944, 0.1006637117, 0.0000000000, 0.0000000000, 0.0000000000, -0.2956092362, 0.1006637117, -0.2770486944, 0.0000000000, -2.7522201363, -1.0062821629, 1.9076220505, 1.7820797264, 4.9278005352, 0.0000000000, 3.0000000000, 1.4448926604, 0.0251092500
          16, -0.2751064775, 0.0999602656, 0.0000000000, 0.0000000000, 0.0000000000, -0.2928675904, 0.0999602656, -0.2751064775, 0.0000000000, -2.7521583298, -1.0117892046, 1.9019083638, 1.7770145157, 4.9216196448, 0.0000000000, 3.0000000000, 1.4749326682, 0.0267461500
          17, -0.2718970033, 0.0987955836, 0.0000000000, 0.0000000000, 0.0000000000, -0.2892133930, 0.0987955836, -0.2718970033, 0.0000000000, -2.7521169802, -1.0171493270, 1.8963961781, 1.7718745975, 4.9169517924, 0.0000000000, 3.0000000000, 1.4843137677, 0.0283831667
          18, -0.2693076000, 0.0978562023, 0.0000000000, 0.0000000000, 0.0000000000, -0.2865371259, 0.0978562023, -0.2693076000, 0.0000000000, -2.7520749191, -1.0227033498, 1.8911443483, 1.7646803884, 4.9105703122, 0.0000000000, 3.0000000000, 1.4935018913, 0.0300106000
          19, -0.2680622154, 0.0974054215, 0.0000000000, 0.0000000000, 0.0000000000, -0.2854153473, 0.0974054215, -0.2680622154, 0.0000000000, -2.7520256190, -1.0261520303, 1.8874835342, 1.7620918148, 4.9071018711, 0.0000000000, 3.0000000000, 1.5030823958, 0.0316430500
          20, -0.2680070748, 0.0973872399, 0.0000000000, 0.0000000000, 0.0000000000, -0.2855215518, 0.0973872399, -0.2680070748, 0.0000000000, -2.7519732041, -1.0313987879, 1.8819570740, 1.7584681972, 4.9023338228, 0.0000000000, 3.0000000000, 1.5090621578, 0.0332728000
          21, -0.2685875639, 0.0975998746, 0.0000000000, 0.0000000000, 0.0000000000, -0.2861849384, 0.0975998746, -0.2685875639, 0.0000000000, -2.7519252968, -1.0358447366, 1.8779265379, 1.7532222040, 4.8975645302, 0.0000000000, 3.0000000000, 1.5182053147, 0.0348971833
          22, -0.2692587615, 0.0978451030, 0.0000000000, 0.0000000000, 0.0000000000, -0.2868246673, 0.0978451030, -0.2692587615, 0.0000000000, -2.7518879647, -1.0391074250, 1.8747397458, 1.7502832695, 4.8945622428, 0.0000000000, 3.0000000000, 1.5259963040, 0.0365231500
          23, -0.2696971804, 0.0980052959, 0.0000000000, 0.0000000000, 0.0000000000, -0.2871421291, 0.0980052959, -0.2696971804, 0.0000000000, -2.7518633362, -1.0438848449, 1.8699968764, 1.7457104660, 4.8898578886, 0.0000000000, 3.0000000000, 1.5317391967, 0.0381534500
          24, -0.2698266618, 0.0980528221, 0.0000000000, 0.0000000000, 0.0000000000, -0.2871088576, 0.0980528221, -0.2698266618, 0.0000000000, -2.7518500348, -1.0477322498, 1.8664257440, 1.7411710008, 4.8857142587, 0.0000000000, 3.0000000000, 1.5401872926, 0.0397832500
          25, -0.2697288455, 0.0980174568, 0.0000000000, 0.0000000000, 0.0000000000, -0.2868473431, 0.0980174568, -0.2697288455, 0.0000000000, -2.7518449701, -1.0516651402, 1.8624417147, 1.7377167180, 4.8819971362, 0.0000000000, 3.0000000000, 1.5470246665, 0.0414179500
          26, -0.2695355557, 0.0979472214, 0.0000000000, 0.0000000000, 0.0000000000, -0.2865091694, 0.0979472214, -0.2695355557, 0.0000000000, -2.7518448394, -1.0564563428, 1.8578024092, 1.7325190731, 4.8769838950, 0.0000000000, 3.0000000000, 1.5540453334, 0.0431062000
          27, -0.2693512698, 0.0978801716, 0.0000000000, 0.0000000000, 0.0000000000, -0.2861988832, 0.0978801716, -0.2693512698, 0.0000000000, -2.7518471347, -1.0604050914, 1.8539933730, 1.7283273549, 4.8729569818, 0.0000000000, 3.0000000000, 1.5626412514, 0.0447323333
          28, -0.2692249900, 0.0978341663, 0.0000000000, 0.0000000000, 0.0000000000, -0.2859552195, 0.0978341663, -0.2692249900, 0.0000000000, -2.7518504029, -1.0653433214, 1.8490282730, 1.7236438547, 4.8680883964, 0.0000000000, 3.0000000000, 1.5697614486, 0.0463610667
          29, -0.2691574760, 0.0978095029, 0.0000000000, 0.0000000000, 0.0000000000, -0.2857670595, 0.0978095029, -0.2691574760, 0.0000000000, -2.7518540421, -1.0701887503, 1.8444163551, 1.7181000272, 4.8629147643, 0.0000000000, 3.0000000000, 1.5787115057, 0.0479772000
          30, -0.2691252188, 0.0977976441, 0.0000000000, 0.0000000000, 0.0000000000, -0.2856033810, 0.0977976441, -0.2691252188, 0.0000000000, -2.7518578934, -1.0747986561, 1.8398284568, 1.7136401674, 4.8583737600, 0.0000000000, 3.0000000000, 1.5875429679, 0.0495863500
          31, -0.2691022518, 0.0977891555, 0.0000000000, 0.0000000000, 0.0000000000, -0.2854361521, 0.0977891555, -0.2691022518, 0.0000000000, -2.7518619063, -1.0803449028, 1.8343758164, 1.7077444593, 4.8525935705, 0.0000000000, 3.0000000000, 1.5959910129, 0.0511978333
          32, -0.2690723974, 0.0977781622, 0.0000000000, 0.0000000000, 0.0000000000, -0.2852507216, 0.0977781622, -0.2690723974, 0.0000000000, -2.7518659718, -1.0852666966, 1.8296092134, 1.7023883794, 4.8474754054, 0.0000000000, 3.0000000000, 1.6062145838, 0.0528075667
          33, -0.2690314391, 0.0977631393, 0.0000000000, 0.0000000000, 0.0000000000, -0.2850460441, 0.0977631393, -0.2690314391, 0.0000000000, -2.7518698873, -1.0909368930, 1.8239196379, 1.6967646350, 4.8417410873, 0.0000000000, 3.0000000000, 1.6153419129, 0.0544176667
          34, -0.2689831111, 0.0977454515, 0.0000000000, 0.0000000000, 0.0000000000, -0.2848283114, 0.0977454515, -0.2689831111, 0.0000000000, -2.7518734312, -1.0966731196, 1.8183408702, 1.6903176708, 4.8356099573, 0.0000000000, 3.0000000000, 1.6259214478, 0.0560244667
          35, -0.2689338172, 0.0977274324, 0.0000000000, 0.0000000000, 0.0000000000, -0.2846053482, 0.0977274324, -0.2689338172, 0.0000000000, -2.7518764251, -1.1023680921, 1.8126312573, 1.6846036384, 4.8298272806, 0.0000000000, 3.0000000000, 1.6366946893, 0.0576354000
          36, -0.2688888434, 0.0977110059, 0.0000000000, 0.0000000000, 0.0000000000, -0.2843828996, 0.0977110059, -0.2688888434, 0.0000000000, -2.7518787759, -1.1087923396, 1.8062674864, 1.6776320973, 4.8230121664, 0.0000000000, 3.0000000000, 1.6474610648, 0.0592497667
          37, -0.2688509851, 0.0976971882, 0.0000000000, 0.0000000000, 0.0000000000, -0.2841636435, 0.0976971882, -0.2688509851, 0.0000000000, -2.7518804785, -1.1148348099, 1.8002666546, 1.6712373098, 4.8167197214, 0.0000000000, 3.0000000000, 1.6596911692, 0.0608670833
          38, -0.2688210815, 0.0976862823, 0.0000000000, 0.0000000000, 0.0000000000, -0.2839486439, 0.0976862823, -0.2688210815, 0.0000000000, -2.7518815850, -1.1216647913, 1.7933820564, 1.6641071454, 4.8095600590, 0.0000000000, 3.0000000000, 1.6712773152, 0.0624995000
          39, -0.2687991400, 0.0976782881, 0.0000000000, 0.0000000000, 0.0000000000, -0.2837382739, 0.0976782881, -0.2687991400, 0.0000000000, -2.7518821751, -1.1283375084, 1.7867525512, 1.6568284604, 4.8024758435, 0.0000000000, 3.0000000000, 1.6844708858, 0.0641443000
          40, -0.2687854034, 0.0976732910, 0.0000000000, 0.0000000000, 0.0000000000, -0.2835337650, 0.0976732910, -0.2687854034, 0.0000000000, -2.7518823274, -1.1354697196, 1.7795141424, 1.6494835603, 4.7950319976, 0.0000000000, 3.0000000000, 1.6974612451, 0.0657807500
          41, -0.2687808028, 0.0976716271, 0.0000000000, 0.0000000000, 0.0000000000, -0.2833371861, 0.0976716271, -0.2687808028, 0.0000000000, -2.7518821065, -1.1428370641, 1.7721370816, 1.6414233474, 4.7871503286, 0.0000000000, 3.0000000000, 1.7114569260, 0.0674186667
          42, -0.2687869568, 0.0976738828, 0.0000000000, 0.0000000000, 0.0000000000, -0.2831515181, 0.0976738828, -0.2687869568, 0.0000000000, -2.7518815589, -1.1503257080, 1.7645280881, 1.6336694760, 4.7793107372, 0.0000000000, 3.0000000000, 1.7260351890, 0.0690676667
          43, -0.2688059001, 0.0976807965, 0.0000000000, 0.0000000000, 0.0000000000, -0.2829802489, 0.0976807965, -0.2688059001, 0.0000000000, -2.7518807152, -1.1583459894, 1.7564005952, 1.6249747218, 4.7707058762, 0.0000000000, 3.0000000000, 1.7409807431, 0.0707061000
          44, -0.2688398306, 0.0976931663, 0.0000000000, 0.0000000000, 0.0000000000, -0.2828269831, 0.0976931663, -0.2688398306, 0.0000000000, -2.7518795925, -1.1662972277, 1.7483098832, 1.6166467589, 4.7623243604, 0.0000000000, 3.0000000000, 1.7571308679, 0.0723537833
          45, -0.2688908845, 0.0977117681, 0.0000000000, 0.0000000000, 0.0000000000, -0.2826954364, 0.0977117681, -0.2688908845, 0.0000000000, -2.7518781983, -1.1748912505, 1.7395277024, 1.6074222081, 4.7531039749, 0.0000000000, 3.0000000000, 1.7732898461, 0.0740012167
          46, -0.2689611473, 0.0977373601, 0.0000000000, 0.0000000000, 0.0000000000, -0.2825891726, 0.0977373601, -0.2689611473, 0.0000000000, -2.7518765295, -1.1833882699, 1.7308571995, 1.5984440559, 4.7440877763, 0.0000000000, 3.0000000000, 1.7909222772, 0.0756493000
          47, -0.2690525246, 0.0977706349, 0.0000000000, 0.0000000000, 0.0000000000, -0.2825117608, 0.0977706349, -0.2690525246, 0.0000000000, -2.7518745766, -1.1925405042, 1.7214377603, 1.5887003499, 4.7342687826, 0.0000000000, 3.0000000000, 1.8085280475, 0.0772983333
          48, -0.2691668864, 0.0978122729, 0.0000000000, 0.0000000000, 0.0000000000, -0.2824665910, 0.0978122729, -0.2691668864, 0.0000000000, -2.7518723214, -1.2016105924, 1.7121506483, 1.5790728633, 4.7245955794, 0.0000000000, 3.0000000000, 1.8276850756, 0.0789538667
          49, -0.2693058422, 0.0978628596, 0.0000000000, 0.0000000000, 0.0000000000, -0.2824568836, 0.0978628596, -0.2693058422, 0.0000000000, -2.7518697431, -1.2113306862, 1.7020693387, 1.5687872911, 4.7141550717, 0.0000000000, 3.0000000000, 1.8468703523, 0.0806076167
          50, -0.2694709167, 0.0979229500, 0.0000000000, 0.0000000000, 0.0000000000, -0.2824855566, 0.0979229500, -0.2694709167, 0.0000000000, -2.7518668164, -1.2210221499, 1.6920894210, 1.5584870988, 4.7037755305, 0.0000000000, 3.0000000000, 1.8676541471, 0.0822594667
          51, -0.2696632293, 0.0979929519, 0.0000000000, 0.0000000000, 0.0000000000, -0.2825550922, 0.0979929519, -0.2696632293, 0.0000000000, -2.7518635190, -1.2312431397, 1.6814611797, 1.5477202117, 4.6928029115, 0.0000000000, 3.0000000000, 1.8886095804, 0.0839052333
          52, -0.2698837028, 0.0980732013, 0.0000000000, 0.0000000000, 0.0000000000, -0.2826675214, 0.0980732013, -0.2698837028, 0.0000000000, -2.7518598289, -1.2415689983, 1.6707456966, 1.5367720273, 4.6817044548, 0.0000000000, 3.0000000000, 1.9109647818, 0.0855552667
          53, -0.2701327949, 0.0981638652, 0.0000000000, 0.0000000000, 0.0000000000, -0.2828242634, 0.0981638652, -0.2701327949, 0.0000000000, -2.7518557307, -1.2523887985, 1.6594288637, 1.5254279872, 4.6700831603, 0.0000000000, 3.0000000000, 1.9338180634, 0.0872126000
          54, -0.2704107117, 0.0982650190, 0.0000000000, 0.0000000000, 0.0000000000, -0.2830262281, 0.0982650190, -0.2704107117, 0.0000000000, -2.7518512128, -1.2633069453, 1.6480538629, 1.5138859684, 4.6583349526, 0.0000000000, 3.0000000000, 1.9580578229, 0.0889555333
          55, -0.2707171645, 0.0983765580, 0.0000000000, 0.0000000000, 0.0000000000, -0.2832736379, 0.0983765580, -0.2707171645, 0.0000000000, -2.7518462723, -1.2747150665, 1.6360236698, 1.5019705175, 4.6460386336, 0.0000000000, 3.0000000000, 1.9828259137, 0.0906235500
          56, -0.2710516611, 0.0984983034, 0.0000000000, 0.0000000000, 0.0000000000, -0.2835662608, 0.0984983034, -0.2710516611, 0.0000000000, -2.7518409107, -1.2862945209, 1.6238583322, 1.4897732923, 4.6335372270, 0.0000000000, 3.0000000000, 2.0090402916, 0.0922740333
          57, -0.2714132702, 0.0986299166, 0.0000000000, 0.0000000000, 0.0000000000, -0.2839032276, 0.0986299166, -0.2714132702, 0.0000000000, -2.7518351377, -1.2982759435, 1.6111919208, 1.4772852467, 4.6206229797, 0.0000000000, 4.0000000000, 2.0360028138, 0.0940529500
          58, -0.2718008904, 0.0987709969, 0.0000000000, 0.0000000000, 0.0000000000, -0.2842832995, 0.0987709969, -0.2718008904, 0.0000000000, -2.7518289679, -1.3104166561, 1.5984354682, 1.4645223515, 4.6075262585, 0.0000000000, 4.0000000000, 2.0642822830, 0.0958367500
          59, -0.2722130800, 0.0989210197, 0.0000000000, 0.0000000000, 0.0000000000, -0.2847047266, 0.0989210197, -0.2722130800, 0.0000000000, -2.7518224226, -1.3228894074, 1.5852814163, 1.4515387547, 4.5941035312, 0.0000000000, 4.0000000000, 2.0933384064, 0.0976230833
          60, -0.2726483082, 0.0990794280, 0.0000000000, 0.0000000000, 0.0000000000, -0.2851655303, 0.0990794280, -0.2726483082, 0.0000000000, -2.7518155259, -1.3355606636, 1.5719661165, 1.4382509047, 4.5804437142, 0.0000000000, 4.0000000000, 2.1236151607, 0.0994065000
          61, -0.2731048629, 0.0992455987, 0.0000000000, 0.0000000000, 0.0000000000, -0.2856634415, 0.0992455987, -0.2731048629, 0.0000000000, -2.7518083060, -1.3485546386, 1.5581684790, 1.4247669730, 4.5664212810, 0.0000000000, 4.0000000000, 2.1548222199, 0.1011945500
          62, -0.2735810381, 0.0994189110, 0.0000000000, 0.0000000000, 0.0000000000, -0.2861961304, 0.0994189110, -0.2735810381, 0.0000000000, -2.7518007923, -1.3617473803, 1.5442479134, 1.4110406497, 4.5522447108, 0.0000000000, 4.0000000000, 2.1873004019, 0.1029837500
          63, -0.2740750462, 0.0995987142, 0.0000000000, 0.0000000000, 0.0000000000, -0.2867611344, 0.0995987142, -0.2740750462, 0.0000000000, -2.7517930156, -1.3751131740, 1.5302435667, 1.3972962421, 4.5380657541, 0.0000000000, 4.0000000000, 2.2207762465, 0.1047666000
          64, -0.2745851058, 0.0997843600, 0.0000000000, 0.0000000000, 0.0000000000, -0.2873559730, 0.0997843600, -0.2745851058, 0.0000000000, -2.7517850073, -1.3888161791, 1.5158349027, 1.3831325970, 4.5234936455, 0.0000000000, 4.0000000000, 2.2552136965, 0.1065512667
          65, -0.2751095895, 0.0999752559, 0.0000000000, 0.0000000000, 0.0000000000, -0.2879783387, 0.0999752559, -0.2751095895, 0.0000000000, -2.7517767965, -1.4024872662, 1.5012556117, 1.3686780658, 4.5086199064, 0.0000000000, 4.0000000000, 2.2910744546, 0.1083436500
          66, -0.2756467111, 0.1001707519, 0.0000000000, 0.0000000000, 0.0000000000, -0.2886257331, 0.1001707519, -0.2756467111, 0.0000000000, -2.7517684145, -1.4156118360, 1.4874778006, 1.3544785419, 4.4942524395, 0.0000000000, 4.0000000000, 2.3274199174, 0.1101295833
          67, -0.2761944282, 0.1003701044, 0.0000000000, 0.0000000000, 0.0000000000, -0.2892953327, 0.1003701044, -0.2761944282, 0.0000000000, -2.7517598964, -1.4286410807, 1.4739542194, 1.3407365946, 4.4802067022, 0.0000000000, 4.0000000000, 2.3628547828, 0.1119147000
          68, -0.2767510597, 0.1005727017, 0.0000000000, 0.0000000000, 0.0000000000, -0.2899847451, 0.1005727017, -0.2767510597, 0.0000000000, -2.7517512712, -1.4424408381, 1.4597130635, 1.3262622811, 4.4654559363, 0.0000000000, 4.0000000000, 2.3985658928, 0.1137057000
          69, -0.2773155664, 0.1007781653, 0.0000000000, 0.0000000000, 0.0000000000, -0.2906923865, 0.1007781653, -0.2773155664, 0.0000000000, -2.7517425573, -1.4562556844, 1.4453275977, 1.3122397504, 4.4510321157, 0.0000000000, 4.0000000000, 2.4369775732, 0.1154930833
          70, -0.2778864742, 0.1009859588, 0.0000000000, 0.0000000000, 0.0000000000, -0.2914161366, 0.1009859588, -0.2778864742, 0.0000000000, -2.7517337795, -1.4712433010, 1.4286411392, 1.2973910717, 4.4347853933, 0.0000000000, 4.0000000000, 2.4760474075, 0.1172735833
          71, -0.2784631291, 0.1011958441, 0.0000000000, 0.0000000000, 0.0000000000, -0.2921549305, 0.1011958441, -0.2784631291, 0.0000000000, -2.7517249495, -1.4862814249, 1.4126827865, 1.2817231216, 4.4185422856, 0.0000000000, 4.0000000000, 2.5191426685, 0.1190568167
          72, -0.2790441524, 0.1014073194, 0.0000000000, 0.0000000000, 0.0000000000, -0.2929067818, 0.1014073194, -0.2790441524, 0.0000000000, -2.7517160895, -1.5015408523, 1.3967453135, 1.2659922557, 4.4024177545, 0.0000000000, 4.0000000000, 2.5631370353, 0.1208465333
          73, -0.2796282936, 0.1016199295, 0.0000000000, 0.0000000000, 0.0000000000, -0.2936698588, 0.1016199295, -0.2796282936, 0.0000000000, -2.7517072195, -1.5182247514, 1.3782576417, 1.2493159197, 4.3843983055, 0.0000000000, 4.0000000000, 2.6085642594, 0.1226416833
          74, -0.2802151064, 0.1018335119, 0.0000000000, 0.0000000000, 0.0000000000, -0.2944433858, 0.1018335119, -0.2802151064, 0.0000000000, -2.7516983465, -1.5348471137, 1.3605250421, 1.2323238853, 4.3666419184, 0.0000000000, 4.0000000000, 2.6591539982, 0.1244370333
          75, -0.2808031037, 0.1020475255, 0.0000000000, 0.0000000000, 0.0000000000, -0.2952252089, 0.1020475255, -0.2808031037, 0.0000000000, -2.7516894934, -1.5518483320, 1.3423604537, 1.2149192897, 4.3484928978, 0.0000000000, 4.0000000000, 2.7105328203, 0.1262270333
          76, -0.2813910732, 0.1022615289, 0.0000000000, 0.0000000000, 0.0000000000, -0.2960135172, 0.1022615289, -0.2813910732, 0.0000000000, -2.7516806782, -1.5691892702, 1.3239111806, 1.1971878098, 4.3301132962, 0.0000000000, 4.0000000000, 2.7641097281, 0.1280131833
          77, -0.2819777445, 0.1024750598, 0.0000000000, 0.0000000000, 0.0000000000, -0.2968064010, 0.1024750598, -0.2819777445, 0.0000000000, -2.7516719194, -1.5870162419, 1.3047974104, 1.1792821628, 4.3112407275, 0.0000000000, 4.0000000000, 2.8198483222, 0.1297968667
          78, -0.2825619119, 0.1026876794, 0.0000000000, 0.0000000000, 0.0000000000, -0.2976020178, 0.1026876794, -0.2825619119, 0.0000000000, -2.7516632345, -1.6058397327, 1.2842600552, 1.1604381255, 4.2911443799, 0.0000000000, 4.0000000000, 2.8783210539, 0.1315849000
          79, -0.2831426692, 0.1028990577, 0.0000000000, 0.0000000000, 0.0000000000, -0.2983989194, 0.1028990577, -0.2831426692, 0.0000000000, -2.7516546361, -1.6248052491, 1.2640346524, 1.1410625323, 4.2710225614, 0.0000000000, 4.0000000000, 2.9413789481, 0.1333671833
          80, -0.2837185008, 0.1031086433, 0.0000000000, 0.0000000000, 0.0000000000, -0.2991948022, 0.1031086433, -0.2837185008, 0.0000000000, -2.7516461454, -1.6441522782, 1.2433391779, 1.1213271193, 4.2505034245, 0.0000000000, 4.0000000000, 3.0063098377, 0.1351538333
          81, -0.2842880289, 0.1033159345, 0.0000000000, 0.0000000000, 0.0000000000, -0.2999875249, 0.1033159345, -0.2842880289, 0.0000000000, -2.7516377816, -1.6642305259, 1.2217611269, 1.1008333235, 4.2291705709, 0.0000000000, 4.0000000000, 3.0740239906, 0.1369447167
          82, -0.2848500680, 0.1035205000, 0.0000000000, 0.0000000000, 0.0000000000, -0.3007751917, 0.1035205000, -0.2848500680, 0.0000000000, -2.7516295606, -1.6848462651, 1.1998796290, 1.0797840527, 4.2074086821, 0.0000000000, 4.0000000000, 3.1459105974, 0.1387270000
          83, -0.2854032607, 0.1037218457, 0.0000000000, 0.0000000000, 0.0000000000, -0.3015556438, 0.1037218457, -0.2854032607, 0.0000000000, -2.7516215006, -1.7064930352, 1.1764174679, 1.0579619249, 4.1843972590, 0.0000000000, 4.0000000000, 3.2214711472, 0.1405147333
          84, -0.2859464999, 0.1039195686, 0.0000000000, 0.0000000000, 0.0000000000, -0.3023270546, 0.1039195686, -0.2859464999, 0.0000000000, -2.7516136159, -1.7290699929, 1.1522308073, 1.0352175824, 4.1605810719, 0.0000000000, 4.0000000000, 3.3027646758, 0.1422947500
          85, -0.2864785328, 0.1041132127, 0.0000000000, 0.0000000000, 0.0000000000, -0.3030873711, 0.1041132127, -0.2864785328, 0.0000000000, -2.7516059229, -1.7523172812, 1.1274615644, 1.0116649627, 4.1361293610, 0.0000000000, 4.0000000000, 3.3897378278, 0.1440827000
          86, -0.2869978686, 0.1043022355, 0.0000000000, 0.0000000000, 0.0000000000, -0.3038341740, 0.1043022355, -0.2869978686, 0.0000000000, -2.7515984410, -1.7766013535, 1.1015224623, 0.9870286730, 4.1104853670, 0.0000000000, 5.0000000000, 3.4816872256, 0.1460027167
          87, -0.2875031549, 0.1044861447, 0.0000000000, 0.0000000000, 0.0000000000, -0.3045652149, 0.1044861447, -0.2875031549, 0.0000000000, -2.7515911875, -1.8018557186, 1.0747478887, 0.9613085406, 4.0840021401, 0.0000000000, 5.0000000000, 3.5804019930, 0.1479187000
          88, -0.2879929073, 0.1046644000, 0.0000000000, 0.0000000000, 0.0000000000, -0.3052780265, 0.1046644000, -0.2879929073, 0.0000000000, -2.7515841812, -1.8282241919, 1.0466787447, 0.9344736549, 4.0563329671, 0.0000000000, 5.0000000000, 3.6860309097, 0.1498347000
          89, -0.2884656272, 0.1048364560, 0.0000000000, 0.0000000000, 0.0000000000, -0.3059700912, 0.1048364560, -0.2884656272, 0.0000000000, -2.7515774412, -1.8558989440, 1.0173829296, 0.9063524315, 4.0273439775, 0.0000000000, 5.0000000000, 3.7996466354, 0.1517548833
          90, -0.2889198182, 0.1050017680, 0.0000000000, 0.0000000000, 0.0000000000, -0.3066388651, 0.1050017680, -0.2889198182, 0.0000000000, -2.7515709863, -1.8852922737, 0.9860463685, 0.8765133480, 3.9964089119, 0.0000000000, 5.0000000000, 3.9226592642, 0.1536743000
          91, -0.2893540795, 0.1051598261, 0.0000000000, 0.0000000000, 0.0000000000, -0.3072819176, 0.1051598261, -0.2893540795, 0.0000000000, -2.7515648335, -1.9163489346, 0.9531295756, 0.8449538245, 3.9638939006, 0.0000000000, 5.0000000000, 4.0576749165, 0.1555866000
          92, -0.2897668591, 0.1053100656, 0.0000000000, 0.0000000000, 0.0000000000, -0.3078965670, 0.1053100656, -0.2897668591, 0.0000000000, -2.7515590022, -1.9489771903, 0.9188680321, 0.8116989879, 3.9299636299, 0.0000000000, 5.0000000000, 4.2053832516, 0.1575353667
