"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	0.000000000000000e+00	0.000000000000000e+00	1.176829268292682e+00	1.225745504857561e+03	2.560702146057474e-14	8.916599999981264e+05	1.013249999999999e+05	2.999999999999999e+02	-9.118491247082098e-17	2.999999999995599e+00	
1	5.000000000000000e-01	0.000000000000000e+00	1.728852804299107e+00	1.681713741188400e+03	1.426337546781668e+02	1.282912786693631e+06	1.836396064106816e+05	3.701062659557947e+02	1.289495242178932e-01	2.531525620003336e+00	
2	1.500000000000000e+00	3.639702342662023e-01	2.722603250058761e+00	2.182217770514347e+03	7.942625221023230e+02	1.945367547277824e+06	3.819873983826110e+05	4.888580607029028e+02	4.396702397716149e-01	1.924560508170100e+00	
3	1.500000000000000e+00	9.342000000000000e-01	1.176829268292977e+00	1.225745504857834e+03	2.390673308630258e-11	8.916599999983390e+05	1.013250000000349e+05	3.000000000000284e+02	5.459696634190407e-14	2.999999999995376e+00	
4	0.000000000000000e+00	9.342000000000000e-01	1.176829268292683e+00	1.225745504857561e+03	-5.468002174464611e-15	8.916599999981266e+05	1.013250000000000e+05	2.999999999999999e+02	0.000000000000000e+00	2.999999999995598e+00	
5	0.000000000000000e+00	4.670999999991171e-03	1.176829268292683e+00	1.225745504857561e+03	-8.054897351082684e-14	8.916599999981264e+05	1.013249999999999e+05	2.999999999999996e+02	-1.823698249416420e-16	2.999999999995600e+00	
6	0.000000000000000e+00	9.341999999982451e-03	1.176829268292684e+00	1.225745504857562e+03	-1.801685838375601e-13	8.916599999981268e+05	1.013249999999998e+05	2.999999999999993e+02	-2.963509655301682e-16	2.999999999995602e+00	
7	0.000000000000000e+00	1.401299999997388e-02	1.176829268292683e+00	1.225745504857561e+03	-2.143156649843727e-13	8.916599999981264e+05	1.013250000000001e+05	3.000000000000001e+02	9.118491247082098e-17	2.999999999995596e+00	
8	0.000000000000000e+00	1.868399999996549e-02	1.176829268292684e+00	1.225745504857562e+03	-1.251222924471371e-13	8.916599999981269e+05	1.013249999999999e+05	2.999999999999994e+02	-2.051660530593472e-16	2.999999999995601e+00	
9	0.000000000000000e+00	2.335499999995699e-02	1.176829268292683e+00	1.225745504857560e+03	-1.534902511434015e-13	8.916599999981264e+05	1.013250000000002e+05	3.000000000000006e+02	3.419434217655787e-16	2.999999999995593e+00	
