"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      0.8170142454,       5.138335799,        4.87774613,       6.985731871
          0,           0,           1,       1.986524195,       5.097959216,       4.840876943,       8.216367417
          0,           0,           2,        1.87950655,        4.98005152,       4.756747819,       8.113345832
          0,           0,           3,       1.873519118,       4.953425928,       4.814362703,       8.102890839
          0,           0,           4,       1.833034646,       4.907201767,       4.805396038,       8.062715309
          0,           0,           5,       1.775765735,       4.856985553,       4.751869184,       7.999116191
          0,           0,           6,       1.819887738,        4.89844968,       4.808630417,       8.052226244
          0,           0,           7,        1.78009721,       4.878688112,       4.757120418,       8.013115986
          0,           0,           8,        1.87152697,       4.971242955,       4.852276708,       8.116389443
          0,           0,           9,       1.836131883,       4.952189762,       4.811125837,        8.07979061
          0,           0,          10,       1.896327769,       5.017670131,       4.867948853,       8.142494177
          0,           0,          11,       1.822174199,       4.942838512,       4.789199897,       8.062766148
          0,           0,          12,       1.848141584,       4.960884235,       4.826621105,       8.085897526
          0,           0,          13,       1.778134947,       4.903910846,       4.725536712,       8.007774115
          0,           0,          14,       1.720972143,       4.846811774,       4.661139011,       7.946262996
          0,           0,          15,       1.420327054,       4.560987497,       4.348407611,        7.64969027
          0,           0,          16,      0.9318923272,       4.095822718,       3.839758408,        7.15745124
          0,           0,          17,       0.366423551,        3.51967015,       3.279359251,       6.585252964
          0,           0,          18,     0.04373767502,       3.204830821,       2.945475131,       6.264343334
          0,           0,          19,     -0.3232346214,       2.841531325,       2.573777457,       5.898114552
          0,           0,          20,     -0.8822140455,        2.27325733,       2.014482513,       5.332185733
          0,           0,          21,      -1.289303234,       1.870873488,        1.60633399,       4.929206642
          0,           0,          22,      -1.823952966,       1.325827554,       1.065940002,       4.385783794
          0,           0,          23,      -2.181338536,      0.9743888393,      0.7075600563,       4.033578886
          0,           0,          24,      -2.523080777,      0.6376665348,       0.365465148,       3.695587318
          0,           0,          25,      -3.039993848,      0.1076591214,     -0.1558463995,       3.170496674
          0,           0,          26,      -3.391770952,       -0.23751487,     -0.5080458229,       2.823864453
          0,           0,          27,      -3.795956151,     -0.6426114685,     -0.9136479515,        2.41951282
          0,           0,          28,       -4.15971889,      -1.001360894,      -1.277256354,       2.059341268
          0,           0,          29,       -4.68758028,      -1.542981234,      -1.812299844,       1.524215803
          0,           0,          30,      -5.061299437,      -1.909476849,      -2.186146563,       1.154904693
          0,           0,          31,      -5.565996417,      -2.429137553,      -2.703252184,      0.6411065943
          0,           0,          32,      -5.919631499,      -2.773407601,      -3.052680162,      0.2926719536
          0,           0,          33,       -6.27453318,      -3.120676591,      -3.403779959,    -0.05753677879
          0,           0,          34,      -6.795710433,      -3.658645117,      -3.937275938,     -0.5870417086
          0,           0,          35,      -7.181460878,      -4.037342048,      -4.322782968,     -0.9684681658
          0,           0,          36,      -7.577648129,       -4.42801069,      -4.719880225,        -1.3606434
          0,           0,          37,      -8.117071836,      -4.987160084,      -5.282470713,      -1.907575729
          0,           0,          38,      -8.535435974,      -5.400327911,      -5.707982865,      -2.322901421
          0,           0,          39,       -8.96249759,      -5.823077667,      -6.143571714,      -2.745954817
          0,           0,          40,      -9.497157616,      -6.380190521,      -6.721800927,      -3.286496039
          0,           0,          41,      -9.934271877,      -6.812360392,      -7.177043886,      -3.721888839
          0,           0,          42,      -10.37973088,      -7.252740984,      -7.643445343,       -4.16256144
          0,           0,          43,      -10.88429602,      -7.765941815,      -8.212020643,      -4.667829869
          0,           0,          44,      -11.21607706,      -8.058757159,      -8.530320115,      -5.011504481
          0,           0,          45,      -11.40866606,      -8.200151184,      -8.764677027,      -5.197145726
          0,           0,          46,      -11.48881936,      -8.240627525,       -8.88276813,       -5.24600844
          0,           0,          47,      -11.50517242,       -8.24748355,      -8.880571084,      -5.249182331
          0,           0,          48,      -11.53810221,      -8.274131672,       -8.92440778,      -5.273690281
          0,           0,          49,      -11.52061416,      -8.256485835,      -8.917719863,       -5.26000769
          0,           0,          50,      -11.51725709,      -8.250555144,      -8.915248916,      -5.254381969
          0,           0,          51,      -11.53640714,      -8.270511555,        -8.9364779,      -5.268968638
          0,           0,          52,      -11.52392683,      -8.259195887,      -8.923442785,      -5.257473884
          0,           0,          53,      -11.52213532,      -8.254070286,      -8.918446443,      -5.256788934
          0,           0,          54,      -11.53060274,      -8.265740592,       -8.92771019,      -5.263293526
          0,           0,          55,      -11.52529169,      -8.258670906,       -8.92377675,      -5.258415666
          0,           0,          56,      -11.51445944,      -8.249010117,      -8.918702105,      -5.253380644
          0,           0,          57,      -11.53039807,      -8.262321855,      -8.924306969,      -5.263119333
          0,           0,          58,      -11.52480348,      -8.258049783,      -8.913441422,      -5.258671055
          0,           0,          59,      -11.52384841,      -8.257874017,      -8.912794501,      -5.258717029
          0,           0,          60,      -11.54262536,       -8.27550199,      -8.931162996,      -5.276630563
          0,           0,          61,      -11.52463594,      -8.256169467,      -8.920159478,      -5.257621804
          0,           0,          62,      -11.51662236,      -8.250199245,      -8.912474571,      -5.252328101
          0,           0,          63,      -11.53750253,      -8.268940825,      -8.923753941,      -5.268547506
          0,           0,          64,       -11.5237188,        -8.2533719,      -8.905672986,      -5.257823392
          0,           0,          65,      -11.51816708,      -8.251382611,       -8.91454616,       -5.25452435
          0,           0,          66,      -11.52557115,      -8.259236091,      -8.920990434,      -5.257111864
          0,           0,          67,      -11.52371166,      -8.257072751,      -8.930410322,      -5.261567944
