x,npz,vtu
4.853229038417339325e-03,1.941024899482727051e+00,1.963575363159179688e+00
7.265569335397552113e-03,1.943943142890930176e+00,1.963575363159179688e+00
9.677909632377764901e-03,1.922325253486633301e+00,1.963575363159179688e+00
1.209024992935797682e-02,1.924741268157958984e+00,1.963575363159179465e+00
1.450259022633819048e-02,1.930354833602905273e+00,1.963575363159179465e+00
1.691493052331840413e-02,1.932202219963073730e+00,1.963575363159179688e+00
1.932727082029861432e-02,1.943387031555175781e+00,1.963575363159179688e+00
2.173961111727882797e-02,1.949547171592712402e+00,1.963575363159179688e+00
2.415195141425904163e-02,1.958192586898803711e+00,1.963575363159179910e+00
2.656429171123925528e-02,1.968970656394958496e+00,1.963575363159179688e+00
2.897663200821946894e-02,1.968385100364685059e+00,1.963575363159179910e+00
3.138897230519967912e-02,1.963375806808471680e+00,1.963575363159179688e+00
3.380131260217988931e-02,1.945266485214233398e+00,1.963575363159179688e+00
3.621365289916010644e-02,1.959039568901062012e+00,1.963575363159179688e+00
3.862599319614031662e-02,1.938921928405761719e+00,1.963575363159179688e+00
4.103833349312053375e-02,1.958355188369750977e+00,1.963575363159179688e+00
4.345067379010074393e-02,1.935893535614013672e+00,1.963575363159179688e+00
4.586301408708095412e-02,1.959906816482543945e+00,1.963575363159179465e+00
4.827535438406117124e-02,1.943982481956481934e+00,1.963575363159179910e+00
5.068769468104138143e-02,1.957176208496093750e+00,1.963575363159179910e+00
5.310003497802159855e-02,1.954290509223937988e+00,1.963575363159179688e+00
5.551237527500180874e-02,1.963979721069335938e+00,1.963575363159179688e+00
5.792471557198201892e-02,1.960246205329895020e+00,1.963575363159179465e+00
6.033705586896223605e-02,1.970051646232604980e+00,1.963575363159179688e+00
6.274939616594243930e-02,1.965493798255920410e+00,1.963575363159179688e+00
6.516173646292265642e-02,1.981906652450561523e+00,1.963575363159179688e+00
6.757407675990287355e-02,1.967984914779663086e+00,1.963575363159179688e+00
6.998641705688309067e-02,1.972737789154052734e+00,1.963575363159179910e+00
7.239875735386329392e-02,1.966477274894714355e+00,1.963575363159179688e+00
7.481109765084351104e-02,1.981642961502075195e+00,1.963575363159179688e+00
7.722343794782372817e-02,1.970447182655334473e+00,1.963575363159179688e+00
7.963577824480393141e-02,1.984802842140197754e+00,1.963575363159179688e+00
8.204811854178414854e-02,1.971770405769348145e+00,1.963575363159179910e+00
8.446045883876436566e-02,1.980693340301513672e+00,1.963575363159179688e+00
8.687279913574456891e-02,1.967098236083984375e+00,1.963575363159179465e+00
8.928513943272478603e-02,1.977036356925964355e+00,1.963575363159179688e+00
9.169747972970500316e-02,1.966414690017700195e+00,1.963575363159179688e+00
9.410982002668520641e-02,1.980053663253784180e+00,1.963575363159179688e+00
9.652216032366542353e-02,1.963550209999084473e+00,1.963575363159179465e+00
9.893450062064564066e-02,1.973315596580505371e+00,1.963575363159179910e+00
1.013468409176258578e-01,1.955486178398132324e+00,1.963575363159179465e+00
1.037591812146060610e-01,1.966307520866394043e+00,1.963575363159179688e+00
1.061715215115862782e-01,1.956365466117858887e+00,1.963575363159179688e+00
1.085838618085664953e-01,1.965072035789489746e+00,1.963575363159179910e+00
1.109962021055466985e-01,1.953342199325561523e+00,1.963575363159179688e+00
1.134085424025269156e-01,1.975670099258422852e+00,1.963575363159179688e+00
1.158208826995071328e-01,1.971658110618591309e+00,1.963575363159179688e+00
1.182332229964873360e-01,1.971487164497375488e+00,1.963575363159179688e+00
1.206455632934675531e-01,1.957335710525512695e+00,1.963575363159179910e+00
1.230579035904477703e-01,1.966570138931274414e+00,1.963575363159179688e+00
1.254702438874279735e-01,1.946433544158935547e+00,1.963575363159179688e+00
1.278825841844081768e-01,1.960868120193481445e+00,1.963575363159179688e+00
1.302949244813884078e-01,1.953981518745422363e+00,1.963575363159179688e+00
1.327072647783686110e-01,1.962373971939086914e+00,1.963575363159179910e+00
1.351196050753488420e-01,1.955188035964965820e+00,1.963575363159179910e+00
1.375319453723290453e-01,1.965523123741149902e+00,1.963575363159179688e+00
1.399442856693092485e-01,1.959403395652770996e+00,1.963575363159179688e+00
1.423566259662894795e-01,1.967693805694580078e+00,1.963575363159179688e+00
1.447689662632696828e-01,1.956732392311096191e+00,1.963575363159179465e+00
1.471813065602498860e-01,1.974447607994079590e+00,1.963575363159179688e+00
1.495936468572301170e-01,1.962867379188537598e+00,1.963575363159179688e+00
1.520059871542103203e-01,1.976957321166992188e+00,1.963575363159179910e+00
1.544183274511905235e-01,1.960120081901550293e+00,1.963575363159179688e+00
1.568306677481707545e-01,1.965794563293457031e+00,1.963575363159179688e+00
1.592430080451509578e-01,1.954632997512817383e+00,1.963575363159179688e+00
1.616553483421311610e-01,1.958481431007385254e+00,1.963575363159179688e+00
1.640676886391113920e-01,1.959034800529479980e+00,1.963575363159179688e+00
1.664800289360915952e-01,1.965303778648376465e+00,1.963575363159179465e+00
1.688923692330717985e-01,1.965587735176086426e+00,1.963575363159179688e+00
1.713047095300520295e-01,1.978017210960388184e+00,1.963575363159179465e+00
1.737170498270322327e-01,1.958831787109375000e+00,1.963575363159179910e+00
1.761293901240124360e-01,1.983766555786132812e+00,1.963575363159179910e+00
1.785417304209926670e-01,1.977798223495483398e+00,1.963575363159179688e+00
1.809540707179728702e-01,1.988347530364990234e+00,1.963575363159179688e+00
1.833664110149530735e-01,1.969802141189575195e+00,1.963575363159179688e+00
1.857787513119333045e-01,1.984593629837036133e+00,1.963575363159179688e+00
