filename,error
double_ramp_0.0494_0.051_ma_3.381_pres_94560_interpolated_arrays_density.npy,"expected 12 points, got 11"
double_ramp_0.0494_0.051_ma_3.381_pres_94560_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
double_ramp_0.0321_0.0357_ma_7.882_pres_183626_interpolated_arrays_density.npy,"expected 12 points, got 11"
double_ramp_0.0321_0.0357_ma_7.882_pres_183626_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
double_ramp_0.0304_0.0306_ma_6.29_pres_167581_interpolated_arrays_density.npy,"expected 12 points, got 11"
double_ramp_0.0304_0.0306_ma_6.29_pres_167581_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
double_ramp_0.0433_0.0381_ma_6.851_pres_187832_interpolated_arrays_density.npy,"expected 12 points, got 11"
double_ramp_0.0433_0.0381_ma_6.851_pres_187832_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
double_ramp_0.0321_0.0357_ma_3.538_pres_193804_interpolated_arrays_density.npy,"expected 12 points, got 11"
double_ramp_0.0321_0.0357_ma_3.538_pres_193804_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
double_ramp_0.0427_0.0406_ma_2.041_pres_91748_interpolated_arrays_density.npy,"expected 12 points, got 11"
double_ramp_0.0427_0.0406_ma_2.041_pres_91748_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
double_ramp_0.0492_0.0478_ma_7.385_pres_172707_interpolated_arrays_density.npy,"expected 12 points, got 11"
double_ramp_0.0492_0.0478_ma_7.385_pres_172707_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
double_ramp_0.0494_0.051_ma_3.339_pres_96658_interpolated_arrays_density.npy,"expected 12 points, got 11"
double_ramp_0.0494_0.051_ma_3.339_pres_96658_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
double_ramp_0.0495_0.051_ma_6.033_pres_142169_interpolated_arrays_density.npy,"expected 12 points, got 11"
double_ramp_0.0495_0.051_ma_6.033_pres_142169_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
double_ramp_0.0469_0.0508_ma_5.834_pres_168731_interpolated_arrays_density.npy,"expected 12 points, got 11"
double_ramp_0.0469_0.0508_ma_5.834_pres_168731_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
double_ramp_0.0494_0.051_ma_2.239_pres_143542_interpolated_arrays_density.npy,"expected 12 points, got 11"
double_ramp_0.0494_0.051_ma_2.239_pres_143542_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
double_ramp_0.0495_0.051_ma_6.537_pres_177128_interpolated_arrays_density.npy,"expected 12 points, got 11"
double_ramp_0.0495_0.051_ma_6.537_pres_177128_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
double_ramp_0.0415_0.0398_ma_3.758_pres_134471_interpolated_arrays_density.npy,"expected 12 points, got 11"
double_ramp_0.0415_0.0398_ma_3.758_pres_134471_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
double_ramp_0.0321_0.0357_ma_7.943_pres_160631_interpolated_arrays_density.npy,"expected 12 points, got 11"
double_ramp_0.0321_0.0357_ma_7.943_pres_160631_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
double_ramp_0.0433_0.0381_ma_5.399_pres_106777_interpolated_arrays_density.npy,"expected 12 points, got 11"
double_ramp_0.0433_0.0381_ma_5.399_pres_106777_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
double_ramp_0.0495_0.051_ma_4.831_pres_171627_interpolated_arrays_density.npy,"expected 12 points, got 11"
double_ramp_0.0495_0.051_ma_4.831_pres_171627_interpolated_arrays_density.npy,Unknown control point 12 in GEO curve 11
