"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      0.7416751386,       4.710412229,        4.44982256,       6.750819384
          0,           0,           1,       1.599912591,       4.622220458,       4.370399198,       7.700509263
          0,           0,           2,       1.525036561,       4.528145228,       4.344325477,        7.62231511
          0,           0,           3,       1.504092022,       4.485391685,       4.386247337,       7.600703268
          0,           0,           4,       1.430321891,       4.412193979,        4.32820858,       7.522727675
          0,           0,           5,       1.416093032,       4.400012887,       4.321047076,       7.502931095
          0,           0,           6,       1.402049925,       4.391418375,       4.313966705,       7.496057664
          0,           0,           7,       1.457362741,       4.447530892,       4.380432166,       7.561073747
          0,           0,           8,       1.426685811,       4.437619455,       4.338165992,       7.528044111
          0,           0,           9,       1.509369611,       4.534675089,       4.432077132,       7.628858209
          0,           0,          10,       1.374356978,       4.396858973,       4.290194051,       7.479210088
          0,           0,          11,       1.446198623,       4.472708502,        4.35836814,       7.555893252
          0,           0,          12,       1.456484074,       4.481671951,       4.368158611,       7.559982239
          0,           0,          13,       1.343223343,       4.370649298,       4.241331959,       7.436086419
          0,           0,          14,       1.217339195,       4.259767416,       4.101667274,       7.312171433
          0,           0,          15,       1.061139539,       4.120468094,       3.931413122,       7.157783511
          0,           0,          16,      0.8325947367,       3.897545644,       3.694011251,       6.923959836
          0,           0,          17,      0.2787999043,       3.326438044,       3.160326395,       6.361240319
          0,           0,          18,     0.03464103472,       3.094769056,       2.899020206,       6.118958023
          0,           0,          19,     -0.2346059822,       2.830858776,       2.623087342,        5.85033242
          0,           0,          20,     -0.7152655365,       2.336113928,        2.14019536,        5.35986257
          0,           0,          21,       -1.01249673,       2.047446167,       1.843060748,       5.068400666
          0,           0,          22,      -1.470880375,       1.575116342,       1.378508521,       4.598598709
          0,           0,          23,       -1.74287339,       1.313126963,       1.107915722,       4.334055696
          0,           0,          24,      -2.011655874,       1.051510644,      0.8395980049,       4.069753219
          0,           0,          25,      -2.485470815,       0.562639496,       0.362252493,       3.585216417
          0,           0,          26,      -2.790003675,      0.2671002579,     0.05937246977,       3.287679558
          0,           0,          27,      -3.103093735,    -0.03984836852,      -0.253107256,       2.978545701
          0,           0,          28,      -3.608072306,     -0.5596650494,     -0.7618368585,       2.463605338
          0,           0,          29,      -3.952644305,      -0.895982063,      -1.105247903,       2.125495634
          0,           0,          30,      -4.355376354,      -1.299731881,      -1.509492465,       1.722114746
          0,           0,          31,      -4.772428892,      -1.718199931,      -1.928227378,       1.304640644
          0,           0,          32,      -5.196678958,      -2.143802477,      -2.354879049,      0.8800528145
          0,           0,          33,      -5.626442036,      -2.575028473,      -2.787879018,      0.4499062621
          0,           0,          34,      -6.016513784,      -2.959535361,      -3.178638693,     0.06388661486
          0,           0,          35,      -6.554550341,      -3.514965386,      -3.730473807,     -0.4833308912
          0,           0,          36,      -6.955981122,      -3.909049147,      -4.133699226,     -0.8795431388
          0,           0,          37,      -7.469849008,      -4.443670109,        -4.6719807,      -1.404589934
          0,           0,          38,      -7.852060715,      -4.816035082,       -5.05231212,      -1.780993493
          0,           0,          39,      -8.238517946,      -5.194095162,       -5.43692963,      -2.161572069
          0,           0,          40,      -8.756514107,      -5.736443606,      -5.986671967,      -2.688619069
          0,           0,          41,      -9.165547451,      -6.137921377,      -6.400513322,      -3.093046752
          0,           0,          42,      -9.586751454,      -6.552882155,      -6.830138008,      -3.508714904
          0,           0,          43,      -10.10484498,      -7.096040172,      -7.403194866,      -4.032454363
          0,           0,          44,      -10.53889584,       -7.52335501,      -7.858873084,      -4.463341225
          0,           0,          45,      -10.98103839,       -7.95636009,      -8.327069742,      -4.898657898
          0,           0,          46,      -11.45967063,      -8.425986768,      -8.875031294,      -5.369788015
          0,           0,          47,      -11.76299339,      -8.656517145,      -9.148528813,      -5.658188588
          0,           0,          48,      -11.88994524,      -8.724189974,      -9.262946581,       -5.75752239
