"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       1.045635993,       4.739757961,       4.479168293,       6.869589742
          0,           0,           1,       1.711989109,       4.615769827,       4.380183225,       7.635541321
          0,           0,           2,       1.658998856,        4.53457211,       4.399994755,       7.575925756
          0,           0,           3,        1.60556456,       4.459033945,       4.404963914,        7.52501912
          0,           0,           4,       1.532963514,         4.3904346,       4.336742883,       7.441271516
          0,           0,           5,       1.529822449,       4.385476886,       4.343117865,       7.439904109
          0,           0,           6,       1.536119367,       4.395079478,       4.363781727,       7.452064407
          0,           0,           7,       1.521871394,       4.393493092,       4.343828971,       7.438400701
          0,           0,           8,       1.537368517,       4.421260105,       4.360218123,       7.459501427
          0,           0,           9,        1.56213251,       4.462767643,       4.400177511,       7.503277847
          0,           0,          10,       1.460493285,       4.358742358,       4.292805306,       7.389996129
          0,           0,          11,       1.486023951,       4.396358685,       4.327414336,       7.423064246
          0,           0,          12,       1.509450085,       4.415080389,       4.346316619,       7.435718216
          0,           0,          13,       1.225646573,       4.105022956,       4.052065852,       7.128780197
          0,           0,          14,       1.205108477,       4.124189032,       4.021874826,       7.121324407
          0,           0,          15,       1.226157318,        4.15955554,       4.033503427,       7.145250775
          0,           0,          16,       1.060345925,       3.987291557,        3.86415087,        6.97075228
          0,           0,          17,      0.9834371599,       3.923418256,       3.785758123,       6.897077774
          0,           0,          18,      0.6556922794,       3.573990235,        3.45628354,       6.557002498
          0,           0,          19,      0.5084362634,       3.440774271,       3.310189823,       6.414681782
          0,           0,          20,      0.3818300688,        3.31114936,       3.169287982,       6.281584946
          0,           0,          21,      0.2428938292,        3.17919792,       3.032618534,       6.146231426
          0,           0,          22,     -0.1610865531,       2.754847689,       2.628180631,        5.73114829
          0,           0,          23,     -0.2493740937,       2.680826155,       2.535041523,       5.648488363
          0,           0,          24,     -0.5973695833,       2.313125802,       2.179954732,       5.286638817
          0,           0,          25,     -0.7831575434,       2.141696558,       1.999394691,        5.11053799
          0,           0,          26,     -0.8577959166,       2.077571341,       1.921643056,       5.040276527
          0,           0,          27,      -1.222363354,       1.692614175,       1.552809872,       4.662781472
          0,           0,          28,      -1.439890103,       1.488333974,       1.340741154,       4.454741903
          0,           0,          29,       -1.55123214,       1.386067511,       1.226193955,        4.34717922
          0,           0,          30,      -1.948732199,      0.9694239807,      0.8256264401,       3.937700171
          0,           0,          31,      -2.214203359,      0.7162490846,      0.5658490818,       3.681356533
