x_phys,y_phys
7.279843444227005259e-03,4.000000000000000222e-01
4.731898238747553331e-02,4.000000000000000222e-01
1.213307240704500911e-01,3.898238747553816053e-01
2.244618395303326630e-01,3.898238747553816053e-01
3.227397260273972557e-01,3.679060665362035576e-01
6.199999999999999956e-01,3.702544031311154615e-01
6.199999999999999956e-01,0.000000000000000000e+00
3.227397260273972557e-01,0.000000000000000000e+00
2.244618395303326630e-01,0.000000000000000000e+00
1.213307240704500911e-01,0.000000000000000000e+00
4.731898238747553331e-02,0.000000000000000000e+00
7.279843444227005259e-03,0.000000000000000000e+00
