x_phys,y_phys
0.000000000000000000e+00,2.560000000000000000e+02
1.402739726027397182e+01,2.560000000000000000e+02
5.059882583170254122e+01,2.304500978473581085e+02
9.117808219178081686e+01,2.304500978473581085e+02
1.327592954990215048e+02,2.154207436399217102e+02
2.560000000000000000e+02,2.144187866927592836e+02
2.560000000000000000e+02,0.000000000000000000e+00
1.327592954990215048e+02,0.000000000000000000e+00
9.117808219178081686e+01,0.000000000000000000e+00
5.059882583170254122e+01,0.000000000000000000e+00
1.402739726027397182e+01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
