x_phys,y_phys
0.000000000000000000e+00,2.560000000000000000e+02
2.104109589041095774e+01,2.560000000000000000e+02
5.109980430528375450e+01,2.414716242661448007e+02
9.418395303326809653e+01,2.409706457925635732e+02
1.317573385518591067e+02,2.244383561643835492e+02
2.560000000000000000e+02,2.234363992172211226e+02
2.560000000000000000e+02,0.000000000000000000e+00
1.317573385518591067e+02,0.000000000000000000e+00
9.418395303326809653e+01,0.000000000000000000e+00
5.109980430528375450e+01,0.000000000000000000e+00
2.104109589041095774e+01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
