x_phys,y_phys
0.000000000000000000e+00,4.000000000000000222e-01
2.911937377690802103e-02,4.000000000000000222e-01
1.213307240704500911e-01,3.679060665362035576e-01
2.268884540117416526e-01,3.679060665362035576e-01
3.178864970645792210e-01,3.772994129158512844e-01
6.199999999999999956e-01,3.757338551859100151e-01
6.199999999999999956e-01,0.000000000000000000e+00
3.178864970645792210e-01,0.000000000000000000e+00
2.268884540117416526e-01,0.000000000000000000e+00
1.213307240704500911e-01,0.000000000000000000e+00
2.911937377690802103e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
