x_phys,y_phys
0.000000000000000000e+00,4.000000000000000222e-01
2.790606653620351929e-02,4.000000000000000222e-01
1.189041095890410876e-01,3.663405088062622328e-01
2.220352250489236734e-01,3.663405088062622328e-01
3.203131115459882383e-01,3.976516634050880628e-01
6.199999999999999956e-01,3.960861056751467935e-01
6.199999999999999956e-01,0.000000000000000000e+00
3.203131115459882383e-01,0.000000000000000000e+00
2.220352250489236734e-01,0.000000000000000000e+00
1.189041095890410876e-01,0.000000000000000000e+00
2.790606653620351929e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
