x_phys,y_phys
0.000000000000000000e+00,2.560000000000000000e+02
1.402739726027397182e+01,2.560000000000000000e+02
5.059882583170254122e+01,2.334559686888453882e+02
9.117808219178081686e+01,2.334559686888453882e+02
1.317573385518591067e+02,2.454794520547945069e+02
2.560000000000000000e+02,2.454794520547945069e+02
2.560000000000000000e+02,0.000000000000000000e+00
1.317573385518591067e+02,0.000000000000000000e+00
9.117808219178081686e+01,0.000000000000000000e+00
5.059882583170254122e+01,0.000000000000000000e+00
1.402739726027397182e+01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
