x_phys,y_phys
0.000000000000000000e+00,1.000000000000000000e+00
4.305283757338551620e-02,1.000000000000000000e+00
2.015655577299412804e-01,8.884540117416829252e-01
3.620352250489236590e-01,8.884540117416829252e-01
5.146771037181996356e-01,8.336594911937377228e-01
1.000000000000000000e+00,8.317025440313110529e-01
1.000000000000000000e+00,0.000000000000000000e+00
5.146771037181996356e-01,0.000000000000000000e+00
3.620352250489236590e-01,0.000000000000000000e+00
2.015655577299412804e-01,0.000000000000000000e+00
4.305283757338551620e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
