x_phys,y_phys
0.000000000000000000e+00,4.000000000000000222e-01
2.669275929549901755e-02,4.000000000000000222e-01
1.213307240704500911e-01,3.522504892367906426e-01
2.220352250489236734e-01,3.522504892367906426e-01
3.178864970645792210e-01,3.757338551859100151e-01
6.199999999999999956e-01,3.741682974559686903e-01
6.199999999999999956e-01,0.000000000000000000e+00
3.178864970645792210e-01,0.000000000000000000e+00
2.220352250489236734e-01,0.000000000000000000e+00
1.213307240704500911e-01,0.000000000000000000e+00
2.669275929549901755e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
