x_phys,y_phys
0.000000000000000000e+00,4.000000000000000222e-01
3.761252446183952630e-02,4.000000000000000222e-01
1.189041095890410876e-01,3.882583170254403360e-01
2.293150684931506700e-01,3.882583170254403360e-01
2.839138943248531999e-01,3.913894324853229301e-01
6.199999999999999956e-01,3.913894324853229301e-01
6.199999999999999956e-01,0.000000000000000000e+00
2.839138943248531999e-01,0.000000000000000000e+00
2.293150684931506700e-01,0.000000000000000000e+00
1.189041095890410876e-01,0.000000000000000000e+00
3.761252446183952630e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
