"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      0.6840979529,       5.344773635,       5.084183966,       7.113413906
          0,           0,           1,       2.019093709,       5.258139807,       4.999832094,       8.485518058
          0,           0,           2,       1.959002446,       5.184159313,       4.979609149,       8.420341018
          0,           0,           3,       1.967967736,        5.17385869,       5.041741762,       8.428153608
          0,           0,           4,       1.922499912,       5.127620422,       5.014469799,       8.381984683
          0,           0,           5,       1.875626902,       5.088945874,       4.967277319,       8.330467297
          0,           0,           6,       1.923329593,       5.134267369,       5.027238419,       8.387177205
          0,           0,           7,       1.883031281,       5.112076861,       4.977093154,       8.348373117
          0,           0,           8,       1.948499074,       5.185963008,       5.034643139,       8.420780714
          0,           0,           9,       1.982126898,       5.227258251,       5.063892361,       8.457221123
          0,           0,          10,       1.927190167,        5.18444883,       4.992872969,       8.392143814
          0,           0,          11,       1.927788689,       5.172874228,       5.002800043,       8.394969264
          0,           0,          12,       1.907780414,       5.162041967,       4.983851572,       8.376960514
          0,           0,          13,       1.853449161,       5.113815745,       4.908385552,       8.318883849
          0,           0,          14,        1.77301412,       5.029504628,       4.833142329,       8.240602252
          0,           0,          15,        1.43015195,       4.714396202,       4.436549459,       7.887728537
          0,           0,          16,      0.8222076644,       4.114680016,       3.836508776,       7.278180996
          0,           0,          17,      0.4332997022,       3.731617071,       3.435730069,       6.889956569
          0,           0,          18,     -0.1242229921,       3.166636689,       2.872193774,       6.325657663
          0,           0,          19,     -0.5734184898,       2.721440678,        2.41772052,       5.878052795
          0,           0,          20,      -1.099029672,       2.196553465,       1.888736084,       5.351943679
          0,           0,          21,      -1.787531141,       1.498374335,       1.191030718,       4.654873015
          0,           0,          22,      -2.403316324,      0.8684849714,       0.541022941,       4.030628589
          0,           0,          23,      -3.009543922,      0.2223206514,     -0.1551669212,       3.405856588
          0,           0,          24,      -3.431407726,     -0.2102071959,     -0.6490546786,       2.984056363
