x_phys,y_phys
0.000000000000000000e+00,2.560000000000000000e+02
1.102152641878669215e+01,2.560000000000000000e+02
5.160078277886496778e+01,2.264422700587084023e+02
8.917416829745596374e+01,2.264422700587084023e+02
1.317573385518591067e+02,2.494872798434442132e+02
2.560000000000000000e+02,2.484853228962817866e+02
2.560000000000000000e+02,0.000000000000000000e+00
1.317573385518591067e+02,0.000000000000000000e+00
8.917416829745596374e+01,0.000000000000000000e+00
5.160078277886496778e+01,0.000000000000000000e+00
1.102152641878669215e+01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
