"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      0.9299614555,       4.914459174,       4.653869505,       6.975159725
          0,           0,           1,       1.785696409,        4.82582889,       4.574111434,       7.922506098
          0,           0,           2,       1.711117962,       4.731957324,       4.548615419,       7.844553623
          0,           0,           3,       1.689896789,       4.688938143,       4.590192502,        7.82270123
          0,           0,           4,       1.615875267,       4.615540021,       4.531773761,       7.744423412
          0,           0,           5,       1.602015318,        4.60370391,        4.52498878,       7.725018258
          0,           0,           6,       1.587873534,       4.595054709,       4.517770869,       7.717984929
          0,           0,           7,       1.643336838,       4.651183245,       4.584474404,       7.783195318
          0,           0,           8,       1.612766128,       4.641628631,       4.542281736,       7.750330935
          0,           0,           9,       1.694044395,       4.736461861,       4.635323897,       7.849517879
          0,           0,          10,       1.561442731,       4.601607143,       4.495263033,       7.702723494
          0,           0,          11,       1.632590155,       4.677015426,       4.561607451,       7.777864776
          0,           0,          12,       1.648476262,       4.690493011,       4.578602038,       7.788010402
          0,           0,          13,       1.533128598,       4.577217783,       4.450097151,       7.661936891
          0,           0,          14,       1.396869281,        4.45793035,       4.298923145,       7.528251943
          0,           0,          15,       1.242740575,       4.319719041,       4.131957513,       7.375661507
          0,           0,          16,        1.02010915,       4.103170484,       3.899161277,       7.147641717
          0,           0,          17,       0.465938581,       3.531237649,       3.365885332,       6.584541871
          0,           0,          18,      0.2219102349,       3.299729382,       3.104662849,        6.34238195
          0,           0,          19,    -0.04627123735,       3.036869268,       2.829788944,         6.0747893
          0,           0,          20,     -0.5257073999,       2.543290478,       2.348129759,       5.585538543
          0,           0,          21,     -0.8208976974,       2.256738811,       2.053012588,       5.296131402
          0,           0,          22,      -1.277871181,       1.785762403,       1.589883957,        4.82772113
          0,           0,          23,      -1.548224601,       1.525481501,       1.320910033,       4.564832504
          0,           0,          24,      -1.815669351,       1.265237093,       1.053911024,        4.30187419
          0,           0,          25,      -2.288734758,      0.7770661702,      0.5773430249,       3.818065312
          0,           0,          26,      -2.592330321,      0.4825147524,      0.2753937554,       3.521486106
          0,           0,          27,      -2.904543998,      0.1764674818,    -0.03621307978,       3.213237309
          0,           0,          28,      -3.409005133,     -0.3428734109,     -0.5443747391,       2.698790711
          0,           0,          29,      -3.752840095,     -0.6784059822,      -0.887052025,       2.361440283
          0,           0,          30,      -4.155025613,      -1.081607471,      -1.290728763,       1.958602465
          0,           0,          31,      -4.571617714,      -1.499609427,      -1.708976172,       1.541587845
          0,           0,          32,       -4.99548822,      -1.924825616,      -2.135217818,       1.117379096
          0,           0,          33,      -5.424946125,      -2.355740219,      -2.567880201,      0.6875371684
          0,           0,          34,       -5.81470797,      -2.739921653,      -2.958326484,      0.3018360905
          0,           0,          35,      -6.352725689,      -3.295355622,      -3.510020917,     -0.2453895887
          0,           0,          36,      -6.753953398,      -3.689209976,      -3.913054469,     -0.6413731245
          0,           0,          37,      -7.267865705,       -4.22391119,      -4.451301633,       -1.16650362
          0,           0,          38,       -7.64990615,      -4.596088549,       -4.83153577,      -1.542709286
          0,           0,          39,      -8.036241276,      -4.974027276,      -5.216097726,      -1.923160134
          0,           0,          40,      -8.554284209,      -5.516487548,      -5.765863543,      -2.450287336
          0,           0,          41,      -8.963247144,      -5.917899677,      -6.179706585,      -2.854630472
          0,           0,          42,      -9.384372776,      -6.332782628,      -6.609294509,      -3.270202256
          0,           0,          43,      -9.902425587,      -6.875865363,       -7.18243865,      -3.793894071
          0,           0,          44,       -10.3367131,      -7.303612708,      -7.638702252,      -4.225098904
          0,           0,          45,      -10.77948836,      -7.736891723,      -8.109811375,      -4.661160856
          0,           0,          46,      -11.26244198,      -8.210151059,      -8.663593154,      -5.137356871
          0,           0,          47,      -11.56562246,      -8.434312377,      -8.931709298,      -5.427121735
          0,           0,          48,      -11.71051637,      -8.512589901,      -9.079880045,      -5.545391221
          0,           0,          49,      -11.75800435,      -8.529976799,      -9.127443485,      -5.566503502
          0,           0,          50,      -11.74657303,      -8.514218464,      -9.124875719,      -5.557062476
          0,           0,          51,      -11.78098393,       -8.53811688,      -9.159360818,      -5.578328654
          0,           0,          52,      -11.77465351,      -8.533511671,      -9.140460619,       -5.56916574
          0,           0,          53,      -11.79018482,      -8.548663233,      -9.158698468,      -5.581939124
          0,           0,          54,      -11.77583147,      -8.536810015,      -9.142617817,      -5.574618947
          0,           0,          55,      -11.76798017,      -8.529278242,      -9.145218684,      -5.570906213
          0,           0,          56,      -11.78549855,      -8.543794548,      -9.155781838,      -5.579332678
          0,           0,          57,      -11.77669743,      -8.535371592,      -9.146109554,      -5.575644305
          0,           0,          58,      -11.76205736,       -8.52437205,      -9.133842787,      -5.566683033
          0,           0,          59,      -11.78451159,      -8.544856553,      -9.148779871,      -5.582882439
          0,           0,          60,      -11.77289327,      -8.533719486,       -9.14387459,       -5.57281732
          0,           0,          61,      -11.76443162,      -8.524522815,      -9.131892899,      -5.561831375
          0,           0,          62,      -11.77701816,      -8.538040098,      -9.154280809,      -5.573614304
          0,           0,          63,      -11.77210639,      -8.533684751,      -9.146913913,      -5.568372947
          0,           0,          64,      -11.78668227,      -8.543563485,      -9.153985769,      -5.579097852
          0,           0,          65,      -11.78263497,      -8.538760041,      -9.146942969,      -5.577590746
          0,           0,          66,       -11.7648959,      -8.526068363,      -9.139715525,      -5.568715233
          0,           0,          67,      -11.77984132,      -8.538408145,      -9.152370828,      -5.578536411
          0,           0,          68,      -11.77422126,       -8.53601099,      -9.150537812,      -5.573383863
          0,           0,          69,      -11.78930384,      -8.550708738,      -9.155569999,      -5.585883772
          0,           0,          70,         -11.78249,      -8.538164665,        -9.1500921,      -5.576470596
          0,           0,          71,       -11.7705811,      -8.531767984,      -9.148811075,      -5.569915044
          0,           0,          72,      -11.78888034,      -8.547731728,      -9.157822957,      -5.580642195
          0,           0,          73,      -11.78063949,      -8.541633615,      -9.144649841,      -5.577916638
          0,           0,          74,      -11.77067698,      -8.531330297,      -9.139480479,      -5.568362446
          0,           0,          75,      -11.78141258,      -8.537567077,      -9.153598028,      -5.575789501
          0,           0,          76,      -11.77671511,      -8.534195095,      -9.148550602,      -5.575314944
          0,           0,          77,       -11.7688295,      -8.528060022,      -9.137349604,      -5.568052352
          0,           0,          78,      -11.78506517,       -8.54400522,      -9.157185833,      -5.579963355
          0,           0,          79,      -11.77557693,      -8.536119705,      -9.146650822,      -5.574127316
