id,label,file,comp1,comp2
29,Ground Truth,/Users/alperensevinc/Desktop/su2/su2_alp/DDPM_pipeline_results/fullyDDPM/backward/sweep/double_ramp_0p1_0p1_ma_6p258_pres_169098_interpolated_arrays_density_M6p258_T300p0_P169098p0/flow.vtu,148.613,101.634
30,Ground Truth,/Users/alperensevinc/Desktop/su2/su2_alp/DDPM_pipeline_results/fullyDDPM/backward/sweep/double_ramp_0p9_0p9_ma_2p506_pres_190323_interpolated_arrays_density_M2p506_T300p0_P190323p0/flow.vtu,332.646,-82.8383
31,Ground Truth,/Users/alperensevinc/Desktop/su2/su2_alp/DDPM_pipeline_results/fullyDDPM/backward/sweep/double_ramp_0p3_0p3_ma_6p077_pres_109747_interpolated_arrays_density_M6p077_T300p0_P109747p0/flow.vtu,-244.222,32.4295
32,Ground Truth,/Users/alperensevinc/Desktop/su2/su2_alp/DDPM_pipeline_results/fullyDDPM/backward/sweep/double_ramp_0p2_0p2_ma_2p563_pres_121446_interpolated_arrays_density_M2p563_T300p0_P121446p0/flow.vtu,-147.243,18.7023
33,Ground Truth,/Users/alperensevinc/Desktop/su2/su2_alp/DDPM_pipeline_results/fullyDDPM/backward/sweep/double_ramp_0p4_0p4_ma_5p821_pres_92737_interpolated_arrays_density_M5p821_T300p0_P92737p0/flow.vtu,-342.63,-21.426
34,Ground Truth,/Users/alperensevinc/Desktop/su2/su2_alp/DDPM_pipeline_results/fullyDDPM/backward/sweep/double_ramp_0p2_0p2_ma_2p284_pres_140453_interpolated_arrays_density_M2p284_T300p0_P140453p0/flow.vtu,-38.8149,40.6852
35,Ground Truth,/Users/alperensevinc/Desktop/su2/su2_alp/DDPM_pipeline_results/fullyDDPM/backward/sweep/double_ramp_0p6_0p6_ma_3p17_pres_153381_interpolated_arrays_density_M3p170_T300p0_P153381p0/flow.vtu,41.2932,107.444
36,Ground Truth,/Users/alperensevinc/Desktop/su2/su2_alp/DDPM_pipeline_results/fullyDDPM/backward/sweep/double_ramp_0p9_0p9_ma_6p106_pres_163069_interpolated_arrays_density_M6p106_T300p0_P163069p0/flow.vtu,108.438,112.683
37,Ground Truth,/Users/alperensevinc/Desktop/su2/su2_alp/DDPM_pipeline_results/fullyDDPM/backward/sweep/double_ramp_0p6_0p6_ma_6p249_pres_163501_interpolated_arrays_density_M6p249_T300p0_P163501p0/flow.vtu,97.3486,155.037
38,Ground Truth,/Users/alperensevinc/Desktop/su2/su2_alp/DDPM_pipeline_results/fullyDDPM/backward/sweep/double_ramp_0p1_0p1_ma_2p857_pres_111185_interpolated_arrays_density_M2p857_T300p0_P111185p0/flow.vtu,-219.34,-28.2489
39,Ground Truth,/Users/alperensevinc/Desktop/su2/su2_alp/DDPM_pipeline_results/fullyDDPM/backward/sweep/double_ramp_0p7_0p7_ma_2p98_pres_150915_interpolated_arrays_density_M2p980_T300p0_P150915p0/flow.vtu,77.7704,-102.292
40,Ground Truth,/Users/alperensevinc/Desktop/su2/su2_alp/DDPM_pipeline_results/fullyDDPM/backward/sweep/double_ramp_0p1_0p1_ma_3p17_pres_153381_interpolated_arrays_density_M3p170_T300p0_P153381p0/flow.vtu,75.9389,13.9852
41,Ground Truth,/Users/alperensevinc/Desktop/su2/su2_alp/DDPM_pipeline_results/fullyDDPM/backward/sweep/double_ramp_0p9_0p9_ma_5p922_pres_125248_interpolated_arrays_density_M5p922_T300p0_P125248p0/flow.vtu,-133.634,35.8944
42,Ground Truth,/Users/alperensevinc/Desktop/su2/su2_alp/DDPM_pipeline_results/fullyDDPM/backward/sweep/double_ramp_0p0_0p0_ma_3p298_pres_109837_interpolated_arrays_density_M3p298_T300p0_P109837p0/flow.vtu,-201.756,-159.828
43,Ground Truth,/Users/alperensevinc/Desktop/su2/su2_alp/DDPM_pipeline_results/fullyDDPM/backward/sweep/double_ramp_0p4_0p4_ma_3p907_pres_154079_interpolated_arrays_density_M3p907_T300p0_P154079p0/flow.vtu,97.7711,-70.9003
44,Ground Truth,/Users/alperensevinc/Desktop/su2/su2_alp/DDPM_pipeline_results/fullyDDPM/backward/sweep/double_ramp_0p4_0p4_ma_2p506_pres_190323_interpolated_arrays_density_M2p506_T300p0_P190323p0/flow.vtu,322.115,-89.1146
45,Ground Truth,/Users/alperensevinc/Desktop/su2/su2_alp/DDPM_pipeline_results/fullyDDPM/backward/sweep/double_ramp_0p1_0p1_ma_6p258_pres_169098_interpolated_arrays_density_M6p258_T300p0_P169098p0/flow.vtu,148.613,101.634
46,Ground Truth,/Users/alperensevinc/Desktop/su2/su2_alp/DDPM_pipeline_results/fullyDDPM/backward/sweep/double_ramp_0p9_0p9_ma_2p506_pres_190323_interpolated_arrays_density_M2p506_T300p0_P190323p0/flow.vtu,332.646,-82.8383
47,Ground Truth,/Users/alperensevinc/Desktop/su2/su2_alp/DDPM_pipeline_results/fullyDDPM/backward/sweep/double_ramp_0p3_0p3_ma_6p077_pres_109747_interpolated_arrays_density_M6p077_T300p0_P109747p0/flow.vtu,-244.222,32.4295
48,Semi-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_semi/double_ramp_0.2_0.2_ma_2.563_pres_121446_interpolated_arrays.npz,-140.623,1.21647
49,Semi-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_semi/double_ramp_0.4_0.4_ma_5.821_pres_92737_interpolated_arrays.npz,-331.903,-30.9365
50,Semi-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_semi/double_ramp_0.2_0.2_ma_2.284_pres_140453_interpolated_arrays.npz,-37.4274,33.5771
51,Semi-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_semi/double_ramp_0.6_0.6_ma_3.17_pres_153381_interpolated_arrays.npz,40.5689,103.385
52,Semi-conditioned DDPM,double_ramp_configuration/inputs/denorm/DDPM_semi/double_ramp_0.9_0.9_ma_6.106_pres_163069_interpolated_arrays.npz,104.559,94.4958
