"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       1.067265295,       4.657477038,       4.396887369,        6.88803429
          0,           0,           1,       1.635761349,       4.511923363,       4.297009951,       7.556425218
          0,           0,           2,       1.587009504,       4.429976782,       4.331247158,       7.501675517
          0,           0,           3,       1.515401539,       4.336727485,       4.311519801,       7.432877412
          0,           0,           4,        1.45565382,       4.281891852,       4.251314147,        7.35826608
          0,           0,           5,       1.444584327,       4.264746986,       4.252788954,       7.349067529
          0,           0,           6,       1.441264654,       4.264278446,       4.266353679,       7.353507963
          0,           0,           7,       1.431763347,       4.271764356,       4.256310586,       7.349134438
          0,           0,           8,       1.454190185,       4.311412558,       4.285204897,       7.382530643
          0,           0,           9,       1.479591139,       4.358642256,        4.31025996,       7.413695552
          0,           0,          10,       1.366932622,        4.23668652,       4.208397497,       7.295766656
          0,           0,          11,       1.379855882,       4.260010953,       4.210655929,       7.306051701
          0,           0,          12,       1.343987053,       4.225002688,       4.166764053,       7.260890948
          0,           0,          13,       1.166942324,       4.023017541,       3.985352555,       7.067689877
          0,           0,          14,       1.194085212,       4.077244792,       4.018761517,       7.106677069
          0,           0,          15,       1.197089668,       4.089252763,       4.011678257,       7.106606268
          0,           0,          16,        0.97322533,       3.837661377,        3.77968748,        6.86430892
          0,           0,          17,      0.9712499867,        3.86408748,       3.788247305,       6.877040429
          0,           0,          18,       1.007515877,       3.904221646,        3.81388966,       6.910856871
          0,           0,          19,      0.7583345032,       3.622657847,       3.560273814,       6.644426581
          0,           0,          20,       0.692552579,       3.578416826,       3.509850214,       6.590858659
          0,           0,          21,      0.7352562786,       3.631063915,        3.53939927,       6.633307628
          0,           0,          22,       0.466179478,       3.329917147,       3.265259825,       6.348263849
          0,           0,          23,      0.3745716043,       3.259216881,       3.184441423,        6.26794497
          0,           0,          24,       0.394774766,       3.291020705,       3.196748621,        6.28965732
