x,V101_H321,V151_H421,V201_H521,V301_H621,V401_H721
2.877879658256445039e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
3.031443608434576664e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
3.185007558612708289e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
3.338571508790839915e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
3.492135458968971540e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
3.645699409147103165e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
3.799263359325234790e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
3.952827309503367109e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
4.106391259681498734e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
4.259955209859630360e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
4.413519160037761985e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
4.567083110215893610e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
4.720647060394025235e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
4.874211010572156860e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
5.027774960750289179e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136008e+00
5.181338910928420805e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
5.334902861106552430e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
5.488466811284684055e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
5.642030761462815680e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
5.795594711640947305e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
5.949158661819078930e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136453e+00
6.102722611997210556e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
6.256286562175342181e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
6.409850512353473806e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
6.563414462531605431e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
6.716978412709737056e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
6.870542362887868681e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
7.024106313066001694e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
7.177670263244133320e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
7.331234213422264945e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
7.484798163600396570e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
7.638362113778528195e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136008e+00
7.791926063956659820e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
7.945490014134791446e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
8.099053964312923071e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
8.252617914491054696e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
8.406181864669186321e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
8.559745814847317946e-02,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
