"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      0.6219216046,       5.450835801,       5.190246132,       7.175332982
          0,           0,           1,       2.066736989,       5.368495149,       5.112569263,       8.648928105
          0,           0,           2,       1.999735966,       5.290380014,       5.078558918,       8.577631388
          0,           0,           3,       2.013911117,         5.2873555,       5.143581279,       8.589627742
          0,           0,           4,       1.982543839,       5.252684934,       5.135855347,       8.559437441
          0,           0,           5,       1.930128255,       5.210567768,       5.077906243,       8.502075329
          0,           0,           6,       1.966008183,       5.247031096,       5.127823128,       8.546536525
          0,           0,           7,       1.964229779,       5.255078431,       5.120673057,       8.547093726
          0,           0,           8,       1.985719028,       5.294746666,       5.129444406,       8.573980437
          0,           0,           9,       2.079674713,       5.391579088,       5.208043041,       8.670823087
          0,           0,          10,       2.060398033,        5.37678539,       5.191428954,       8.650453152
          0,           0,          11,       1.968098536,       5.293099688,       5.090213146,         8.5491181
          0,           0,          12,       1.895013471,       5.215751768,       5.012708979,       8.474830306
          0,           0,          13,       1.928702088,       5.249223705,       5.045178981,       8.510574965
          0,           0,          14,       1.756642255,       5.085281229,        4.85910071,       8.335366128
          0,           0,          15,       1.452082717,       4.812175497,         4.4729251,       8.027290183
          0,           0,          16,      0.8163356588,       4.178307475,       3.875880805,       7.388942971
          0,           0,          17,      0.4185895691,       3.785543142,       3.463439314,       6.992006579
          0,           0,          18,     -0.1559626953,       3.204379912,       2.885901077,       6.412261792
          0,           0,          19,     -0.6108032979,       2.753396361,       2.425437325,       5.959139072
          0,           0,          20,      -1.112977019,       2.252742857,       1.920400463,       5.457264419
          0,           0,          21,      -1.763717716,       1.595132026,       1.266328768,       4.800712803
          0,           0,          22,      -2.276572397,        1.08135628,       0.741112445,        4.28733519
          0,           0,          23,      -2.849611175,      0.4933682135,      0.1457384545,       3.703075515
          0,           0,          24,      -3.222542064,      0.1217444037,     -0.2354562818,        3.33314257
          0,           0,          25,      -3.594458813,     -0.2503154786,     -0.6014675226,       2.965045129
          0,           0,          26,      -3.947263825,     -0.6001377788,     -0.9457400988,       2.615911166
          0,           0,          27,      -4.238933779,     -0.8815588558,      -1.227574657,       2.329783386
          0,           0,          28,      -4.724798975,      -1.377625521,      -1.713577555,       1.840247948
          0,           0,          29,       -5.04677878,        -1.6897404,      -2.030855295,       1.521822121
          0,           0,          30,      -5.444918699,      -2.086963361,      -2.424976015,       1.123970897
          0,           0,          31,      -5.870729847,      -2.512598758,      -2.849483402,      0.6981245173
          0,           0,          32,      -6.318812871,      -2.961086258,      -3.298386547,      0.2496853614
          0,           0,          33,      -6.744061327,      -3.383230921,      -3.726029514,     -0.1740520309
          0,           0,          34,      -7.330682264,       -3.98216839,      -4.322233941,     -0.7664356563
          0,           0,          35,      -7.795727084,      -4.446266467,      -4.800830598,      -1.231371454
          0,           0,          36,       -8.36831148,      -5.040555644,      -5.406133568,      -1.814358691
          0,           0,          37,      -8.831397106,      -5.509888392,      -5.906263352,        -2.2813771
          0,           0,          38,      -9.305864396,      -5.996720379,      -6.451762436,      -2.756346126
          0,           0,          39,      -9.805596674,      -6.524356351,      -7.023823599,      -3.259565829
          0,           0,          40,      -10.19614026,      -6.897640851,      -7.413798131,      -3.646248319
          0,           0,          41,      -10.55957767,      -7.231721981,      -7.721600193,      -3.996847799
          0,           0,          42,      -10.91585874,      -7.571907986,      -8.050553674,      -4.369938483
          0,           0,          43,      -11.05678525,      -7.676790055,      -8.194679199,      -4.508216141
          0,           0,          44,      -11.23107764,      -7.814097519,      -8.452741913,      -4.659728675
          0,           0,          45,      -11.23927358,      -7.810893737,      -8.499720635,      -4.656864814
          0,           0,          46,      -11.24483073,      -7.807123889,      -8.511884064,      -4.655088423
          0,           0,          47,      -11.27228876,       -7.82962883,       -8.58944562,       -4.67624359
          0,           0,          48,      -11.26787012,      -7.828038709,      -8.563645915,      -4.672918483
          0,           0,          49,      -11.24658615,      -7.808097968,      -8.550880228,      -4.654400027
          0,           0,          50,      -11.27987265,      -7.837163334,      -8.595347612,      -4.684084533
          0,           0,          51,      -11.27482539,      -7.832185369,      -8.599265666,      -4.679034431
          0,           0,          52,      -11.20944533,      -7.775861034,      -8.449797246,      -4.621148531
          0,           0,          53,      -11.25789007,      -7.820139641,      -8.542500806,      -4.665235424
          0,           0,          54,      -11.24789929,      -7.807930643,      -8.542056115,      -4.655193635
          0,           0,          55,      -11.29306318,      -7.850029294,       -8.59778428,      -4.693837356
          0,           0,          56,       -11.2722446,      -7.831043968,        -8.5757187,      -4.675443641
          0,           0,          57,      -11.30361412,      -7.860548864,      -8.620867992,      -4.705662494
          0,           0,          58,       -11.2869192,      -7.844223984,      -8.610468354,      -4.689968267
          0,           0,          59,      -11.27874522,      -7.835061829,       -8.58890731,      -4.682524438
          0,           0,          60,      -11.26537663,      -7.823363863,      -8.590250612,      -4.671980134
          0,           0,          61,       -11.2653605,      -7.825412362,      -8.560732063,      -4.673593431
          0,           0,          62,       -11.2554408,      -7.813211998,       -8.55773857,      -4.662198996
          0,           0,          63,       -11.2818424,      -7.839252419,      -8.598986488,      -4.687006886
          0,           0,          64,      -11.27217827,      -7.830140749,      -8.600604706,      -4.676471586
          0,           0,          65,       -11.2927115,       -7.85058479,       -8.60888071,       -4.69593838
          0,           0,          66,      -11.28688185,       -7.84278318,      -8.596001808,      -4.689408682
          0,           0,          67,      -11.27065775,      -7.827856554,      -8.585146632,      -4.673996126
          0,           0,          68,      -11.28945998,       -7.84527063,      -8.605612253,      -4.690903434
          0,           0,          69,      -11.27255613,      -7.830290353,      -8.581897931,      -4.677844343
          0,           0,          70,      -11.26293794,      -7.819572278,      -8.573319103,      -4.666515321
          0,           0,          71,       -11.2805631,      -7.837629235,      -8.609768525,      -4.684548381
          0,           0,          72,      -11.27176989,      -7.827962911,      -8.605098222,      -4.675003554
          0,           0,          73,      -11.24835444,      -7.805831742,      -8.583394681,      -4.654103552
          0,           0,          74,      -11.28006894,      -7.838151511,      -8.595045665,      -4.685426637
          0,           0,          75,      -11.25962101,      -7.818042451,      -8.562261929,      -4.664678625
          0,           0,          76,      -11.29109339,       -7.85018646,      -8.622288407,      -4.692558041
          0,           0,          77,      -11.27529546,       -7.83374877,      -8.575364246,      -4.679722873
          0,           0,          78,       -11.2473275,      -7.807112703,      -8.555667821,      -4.655066323
          0,           0,          79,      -11.28398508,      -7.842463864,      -8.592788579,       -4.68804462
          0,           0,          80,       -11.2774101,      -7.834904316,      -8.599346719,       -4.67935379
          0,           0,          81,       -11.2573048,      -7.817454144,      -8.550942497,      -4.664866927
          0,           0,          82,      -11.25218019,      -7.812332849,       -8.53747059,      -4.658319762
          0,           0,          83,      -11.28092573,      -7.838004792,      -8.610355564,         -4.683315
          0,           0,          84,      -11.26736692,      -7.826038617,      -8.562698027,      -4.672862905
          0,           0,          85,      -11.28696751,      -7.842622229,       -8.60665207,      -4.689719596
          0,           0,          86,      -11.28166526,      -7.838231004,      -8.599600142,      -4.684156725
          0,           0,          87,      -11.26110892,      -7.820582994,      -8.574966658,      -4.667059161
          0,           0,          88,      -11.29011799,      -7.846826967,      -8.590411425,      -4.691892776
          0,           0,          89,      -11.27606918,      -7.835158298,      -8.577332636,      -4.681000733
          0,           0,          90,      -11.25577566,      -7.816925683,      -8.537624311,      -4.660619173
          0,           0,          91,      -11.26656556,      -7.828712413,      -8.547822451,      -4.675440848
          0,           0,          92,      -11.27069042,       -7.82760177,      -8.566963129,      -4.673941579
          0,           0,          93,      -11.26851949,      -7.827139186,      -8.588901297,       -4.67298305
          0,           0,          94,      -11.26589343,      -7.823867977,      -8.567182325,      -4.669296408
          0,           0,          95,      -11.26520049,      -7.824156277,      -8.563972375,      -4.671648178
          0,           0,          96,      -11.28640893,       -7.84153303,      -8.609848661,      -4.688109731
          0,           0,          97,      -11.28373292,      -7.840097166,      -8.588551761,      -4.684198622
          0,           0,          98,       -11.2566694,      -7.816717634,      -8.562782971,       -4.66406841
          0,           0,          99,      -11.27871699,      -7.837863047,      -8.575492407,       -4.68327958
          0,           0,         100,      -11.26866541,       -7.82576149,      -8.579436625,      -4.674930539
