x,npz,vtu
0.000000000000000000e+00,6.615330000000000155e+00,6.615331649780273438e+00
2.431372567719104153e-03,6.615330000000000155e+00,6.615331649780273438e+00
4.862745135438208306e-03,6.615330000000000155e+00,6.615331649780272549e+00
7.294117703157312893e-03,6.615330000000000155e+00,6.615331649780273438e+00
9.725490270876416612e-03,6.615330000000000155e+00,6.615331649780273438e+00
1.215686283859552033e-02,6.615330000000000155e+00,6.615331649780273438e+00
1.458823540631462579e-02,6.615330000000000155e+00,6.615331649780272549e+00
1.701960797403372777e-02,6.615330000000000155e+00,6.615331649780273438e+00
1.945098054175283322e-02,6.615330000000000155e+00,6.615331649780272549e+00
2.188235310947193868e-02,6.615330000000000155e+00,6.615331649780272549e+00
2.431372567719104066e-02,6.615330000000000155e+00,6.615331649780273438e+00
2.674509824491014612e-02,6.615330000000000155e+00,6.615331649780273438e+00
2.917647081262925157e-02,6.615330000000000155e+00,6.615331649780272549e+00
3.160784338034835356e-02,6.615330000000001043e+00,6.615331649780273438e+00
3.403921594806745554e-02,6.615330000000000155e+00,6.615331649780273438e+00
3.647058851578656447e-02,6.615330000000000155e+00,6.615331649780274326e+00
3.890196108350566645e-02,6.615330000000000155e+00,6.615331649780273438e+00
4.133333365122476843e-02,6.615330000000000155e+00,6.615331649780273438e+00
4.376470621894387736e-02,6.615330000000001043e+00,6.615331649780273438e+00
4.619607878666297934e-02,6.615330000000000155e+00,6.615331649780273438e+00
4.862745135438208133e-02,6.615330000000000155e+00,6.615331649780273438e+00
5.105882392210119025e-02,6.615330000000000155e+00,6.615331649780273438e+00
5.349019648982029224e-02,6.615330000000000155e+00,6.615331649780274326e+00
5.592156905753939422e-02,6.615330000000000155e+00,6.615331649780273438e+00
5.835294162525850314e-02,6.615330000000000155e+00,6.615331649780273438e+00
6.078431419297760513e-02,6.615330000000000155e+00,6.615331649780273438e+00
6.321568676069670711e-02,6.615330000000000155e+00,6.615331649780273438e+00
6.564705932841581604e-02,6.615329999999999266e+00,6.615331649780274326e+00
6.807843189613491108e-02,6.615330000000000155e+00,6.615331649780274326e+00
7.050980446385402001e-02,6.615330000000000155e+00,6.615331649780273438e+00
7.294117703157312893e-02,6.615330000000000155e+00,6.615331649780273438e+00
7.537254959929222398e-02,6.615330000000000155e+00,6.615331649780273438e+00
7.780392216701133290e-02,6.615329999999999266e+00,6.615331649780273438e+00
