x,npz,vtu
4.853229038417339325e-03,1.452547430992126465e+00,1.454386711120605469e+00
7.265569335397552113e-03,1.463874697685241699e+00,1.454386711120605469e+00
9.677909632377764901e-03,1.434488773345947266e+00,1.454386711120605469e+00
1.209024992935797682e-02,1.460721969604492188e+00,1.454386711120605469e+00
1.450259022633819048e-02,1.466468095779418945e+00,1.454386711120605469e+00
1.691493052331840413e-02,1.467725634574890137e+00,1.454386711120605469e+00
1.932727082029861432e-02,1.460466146469116211e+00,1.454386711120605469e+00
2.173961111727882797e-02,1.468557476997375488e+00,1.454386711120605469e+00
2.415195141425904163e-02,1.453872323036193848e+00,1.454386711120605469e+00
2.656429171123925528e-02,1.471844673156738281e+00,1.454386711120605469e+00
2.897663200821946894e-02,1.463974475860595703e+00,1.454386711120605247e+00
3.138897230519967912e-02,1.473026037216186523e+00,1.454386711120605469e+00
3.380131260217988931e-02,1.474021434783935547e+00,1.454386711120605469e+00
3.621365289916010644e-02,1.476547837257385254e+00,1.454386711120605469e+00
3.862599319614031662e-02,1.478973150253295898e+00,1.454386711120605469e+00
4.103833349312053375e-02,1.477401971817016602e+00,1.454386711120605469e+00
4.345067379010074393e-02,1.464603781700134277e+00,1.454386711120605469e+00
4.586301408708095412e-02,1.476197957992553711e+00,1.454386711120605469e+00
4.827535438406117124e-02,1.468341708183288574e+00,1.454386711120605469e+00
5.068769468104138143e-02,1.471792936325073242e+00,1.454386711120605469e+00
5.310003497802159855e-02,1.470652341842651367e+00,1.454386711120605469e+00
5.551237527500180874e-02,1.472320318222045898e+00,1.454386711120605469e+00
5.792471557198201892e-02,1.469373106956481934e+00,1.454386711120605469e+00
6.033705586896223605e-02,1.474277615547180176e+00,1.454386711120605691e+00
6.274939616594243930e-02,1.472443699836730957e+00,1.454386711120605469e+00
6.516173646292265642e-02,1.480258107185363770e+00,1.454386711120605469e+00
6.757407675990287355e-02,1.471238493919372559e+00,1.454386711120605247e+00
6.998641705688309067e-02,1.475717186927795410e+00,1.454386711120605691e+00
7.239875735386329392e-02,1.472828745841979980e+00,1.454386711120605469e+00
7.481109765084351104e-02,1.479732990264892578e+00,1.454386711120605469e+00
7.722343794782372817e-02,1.475072383880615234e+00,1.454386711120605469e+00
7.963577824480393141e-02,1.470838665962219238e+00,1.454386711120605247e+00
8.204811854178414854e-02,1.469681501388549805e+00,1.454386711120605469e+00
8.446045883876436566e-02,1.462836742401123047e+00,1.454386711120605469e+00
8.687279913574456891e-02,1.462994337081909180e+00,1.454386711120605469e+00
8.928513943272478603e-02,1.457558751106262207e+00,1.454386711120605469e+00
9.169747972970500316e-02,1.458825588226318359e+00,1.454386711120605469e+00
9.410982002668520641e-02,1.458673119544982910e+00,1.454386711120605469e+00
9.652216032366542353e-02,1.452437162399291992e+00,1.454386711120605469e+00
9.893450062064564066e-02,1.462766766548156738e+00,1.454386711120605691e+00
1.013468409176258578e-01,1.451924204826354980e+00,1.454386711120605469e+00
1.037591812146060610e-01,1.462753176689147949e+00,1.454386711120605469e+00
1.061715215115862782e-01,1.455556392669677734e+00,1.454386711120605469e+00
1.085838618085664953e-01,1.467849373817443848e+00,1.454386711120605469e+00
1.109962021055466985e-01,1.462086319923400879e+00,1.454386711120605469e+00
1.134085424025269156e-01,1.483138680458068848e+00,1.454386711120605469e+00
1.158208826995071328e-01,1.478670120239257812e+00,1.454386711120605469e+00
1.182332229964873360e-01,1.477042794227600098e+00,1.454386711120605469e+00
1.206455632934675531e-01,1.472779631614685059e+00,1.454386711120605469e+00
1.230579035904477703e-01,1.465873360633850098e+00,1.454386711120605469e+00
1.254702438874279735e-01,1.471333026885986328e+00,1.454386711120605469e+00
1.278825841844081768e-01,1.471337318420410156e+00,1.454386711120605469e+00
1.302949244813884078e-01,1.464337587356567383e+00,1.454386711120605469e+00
1.327072647783686110e-01,1.467654109001159668e+00,1.454386711120605469e+00
1.351196050753488420e-01,1.461470007896423340e+00,1.454386711120605691e+00
1.375319453723290453e-01,1.462446212768554688e+00,1.454386711120605469e+00
1.399442856693092485e-01,1.458742260932922363e+00,1.454386711120605469e+00
1.423566259662894795e-01,1.464385509490966797e+00,1.454386711120605691e+00
1.447689662632696828e-01,1.464763164520263672e+00,1.454386711120605469e+00
1.471813065602498860e-01,1.458272576332092285e+00,1.454386711120605469e+00
1.495936468572301170e-01,1.452744722366333008e+00,1.454386711120605469e+00
1.520059871542103203e-01,1.465322732925415039e+00,1.454386711120605469e+00
1.544183274511905235e-01,1.464859962463378906e+00,1.454386711120605469e+00
1.568306677481707545e-01,1.476171493530273438e+00,1.454386711120605469e+00
